Covidence #,Study ID,Title,Reviewer Name,CASE CONTROL: Selection: 1) Is the case definition adequate?,CASE CONTROL: Selection: 1) Is the case definition adequate? supporting text,CASE CONTROL: Selection: 2) Representativeness of the cases,CASE CONTROL: Selection: 2) Representativeness of the cases supporting text,CASE CONTROL: Selection: 3) Selection of Controls,CASE CONTROL: Selection: 3) Selection of Controls supporting text,CASE CONTROL: Selection: 4) Definition of Controls,CASE CONTROL: Selection: 4) Definition of Controls supporting text,CASE CONTROL: Comparability: 1) Comparability of cases and controls on the basis of the design or analysis,CASE CONTROL: Comparability: 1) Comparability of cases and controls on the basis of the design or analysis supporting text,COHORT: Selection: 1) Representativeness of the cancer cohort,COHORT: Selection: 1) Representativeness of the cancer cohort supporting text,COHORT: Selection: 2) Selection of the non exposed cohort,COHORT: Selection: 2) Selection of the non exposed cohort supporting text,COHORT: Selection: 3) Ascertainment of exposure,COHORT: Selection: 3) Ascertainment of exposure supporting text,COHORT: Selection: 4) Demonstration that outcome of interest [COVID-19 diagnosis/hospitalisation/severe disease] was not present at start of study,COHORT: Selection: 4) Demonstration that outcome of interest [COVID-19 diagnosis/hospitalisation/severe disease] was not present at start of study supporting text,COHORT: Comparability: 1) Comparability of cohorts on the basis of the design or analysis,COHORT: Comparability: 1) Comparability of cohorts on the basis of the design or analysis supporting text,COHORT: Outcome: 1) Assessment of outcome,COHORT: Outcome: 1) Assessment of outcome supporting text,COHORT: Outcome: 2) Was follow-up long enough for outcomes to occur,COHORT: Outcome: 2) Was follow-up long enough for outcomes to occur supporting text,COHORT: Outcome: 3) Adequacy of follow up of cohorts,COHORT: Outcome: 3) Adequacy of follow up of cohorts supporting text
141173,Alsakarneh 2024,Increased Risk of Breakthrough SARS-CoV-2 Infections in Patients with Colorectal Cancer: A Population-Based Propensity-Matched Analysis.,Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",b) somewhat representative of the average cancer patient in the community (not multinational but multiple centres) Ø,"",a) drawn from the same community as the exposed cohort Ø,"",a) secure record (eg surgical records) Ø,"",a) yes Ø,"",b) study controls for age AND any additional factor Ø (This criteria could be modified to indicate specific control for a second important factor.),"",b) record linkage Ø  (e.g. identified through ICD codes on EHR database records),"",a) yes (the study encompass sickness period of all patients) Ø,"","b) subjects lost to follow up unlikely to introduce bias (less than 10% lost to follow up, or description provided of those lost) Ø",""
141132,Sullivan 2023,Breast Cancer (BC) and Severe COVID-19 (C-19) Outcomes: A Matched Analysis.,Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",d) no description of the derivation of the cohort,"",a) drawn from the same community as the exposed cohort Ø,"",a) secure record (eg surgical records) Ø,"",a) yes Ø,"",b) study controls for age AND any additional factor Ø (This criteria could be modified to indicate specific control for a second important factor.),"",b) record linkage Ø  (e.g. identified through ICD codes on EHR database records),"",a) yes (the study encompass sickness period of all patients) Ø,"","b) subjects lost to follow up unlikely to introduce bias (less than 10% lost to follow up, or description provided of those lost) Ø",""
140255,Park 2024,COVID-19 Mortality and Severity in Cancer Patients and Cancer Survivors.,Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",b) somewhat representative of the average cancer patient in the community (not multinational but multiple centres) Ø,"",a) drawn from the same community as the exposed cohort Ø,"",a) secure record (eg surgical records) Ø,"",a) yes Ø,"",b) study controls for age AND any additional factor Ø (This criteria could be modified to indicate specific control for a second important factor.),"",b) record linkage Ø  (e.g. identified through ICD codes on EHR database records),"",a) yes (the study encompass sickness period of all patients) Ø,"",d) no statement,""
138896,Li 2024,Outcomes and inflammation changes in different types of immunocompromised patients with critically ill COVID-19 admitted to ICU: a national multicenter study.,Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",b) somewhat representative of the average cancer patient in the community (not multinational but multiple centres) Ø,"",a) drawn from the same community as the exposed cohort Ø,"",a) secure record (eg surgical records) Ø,"",a) yes Ø,"",b) study controls for age AND any additional factor Ø (This criteria could be modified to indicate specific control for a second important factor.),"",b) record linkage Ø  (e.g. identified through ICD codes on EHR database records),"",a) yes (the study encompass sickness period of all patients) Ø,"",a) complete follow up - all subjects accounted for Ø,""
138865,Evans 2023,Impact of COVID-19 on immunocompromised populations during the Omicron era: insights from the observational population-based INFORM study.,Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",b) somewhat representative of the average cancer patient in the community (not multinational but multiple centres) Ø,"",a) drawn from the same community as the exposed cohort Ø,"",a) secure record (eg surgical records) Ø,"",a) yes Ø,"",b) study controls for age AND any additional factor Ø (This criteria could be modified to indicate specific control for a second important factor.),"",b) record linkage Ø  (e.g. identified through ICD codes on EHR database records),"",a) yes (the study encompass sickness period of all patients) Ø,"",d) no statement,""
137597,Yiğenoğlu 2020,The outcome of COVID-19 in patients with hematological malignancy.,Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",b) somewhat representative of the average cancer patient in the community (not multinational but multiple centres) Ø,"The data of laboratory‐confirmed 188 897 COVID‐19 patients diagnosed between 11 March 2020 and 22 June 2020 included in the Republic of Turkey, Ministry of Health database were analyzed retrospectively.",a) drawn from the same community as the exposed cohort Ø," All COVID‐19 patients with hematological malignancy
(n = 740) were included in the study and age, sex, and comorbidity-matched COVID‐19 patients without cancer (n = 740) at 1:1 ratio was used for comparison",a) secure record (eg surgical records) Ø,"The data of laboratory‐confirmed 188 897 COVID‐19 patients diagnosed between 11 March 2020 and 22 June 2020 included in the Republic of Turkey, Ministry of Health database were analyzed retrospectively.",b) no,No statement re history of disease.,b) study controls for age AND any additional factor Ø (This criteria could be modified to indicate specific control for a second important factor.),"Cancer and control groups were age, sex and comorbidity matched.","a) independent or blind assessment Ø (direct reference to RT-PCR/RAT/laboratory test, etc.)",Real‐time reverse‐transcriptase polymerase chain reaction (RT‐PCR) tests for SARS‐CoV‐2 RNA were performed using nasopharyngeal swabs.,b) no,No mention of follow-up duration.,a) complete follow up - all subjects accounted for Ø,""
137477,Zhuqing 2020,Association of Cancer with Risk and Mortality of COVID-19: Results from the UK Biobank (preprint),Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",b) somewhat representative of the average cancer patient in the community (not multinational but multiple centres) Ø,Data taken from a UK-wide data repository.,a) drawn from the same community as the exposed cohort Ø,Data taken from a UK-wide data repository.,a) secure record (eg surgical records) Ø,"States that ""COVID-19 test results are provided by Public Health England... data is also collected through a) general practitioner, b) hospital inpatient data, c) death data and d) critical care data.""",b) no,Recruited at positive covid test,b) study controls for age AND any additional factor Ø (This criteria could be modified to indicate specific control for a second important factor.),Multivariable analysis accounts for age and sex.,b) record linkage Ø  (e.g. identified through ICD codes on EHR database records),"""Follow-up information is provided by linking health and medical records"".",b) no,Uncertain as full study period is not clear. ,a) complete follow up - all subjects accounted for Ø,Clear with numbers - all patients are accounted for.
136941,Xiaowu 2020,Malignancy history had no marked effect on the prognosis of COVID-19: A cohort study (preprint),Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"","c) selected group of users e.g. dock-workers, radiograph technicians, ethnic race , single centre",Central Hospital of Wuhan (single centre),a) drawn from the same community as the exposed cohort Ø,"same hospital
",a) secure record (eg surgical records) Ø,"""extracted from electronic medical records""",b) no,included at positive covid test,c) Study does not control for any factors,controls for gender but not age,"a) independent or blind assessment Ø (direct reference to RT-PCR/RAT/laboratory test, etc.)","SARS-CoV-2 infection: confirmed by positive next-generation sequencing or real-time RT-PCR methods
of respiratory specimens

several lab tests were also included eg. neutrophil count, lymphocyte, neutrophil-to-lymphocyte ratio (NLR) and C-reactive protein (CRP), all of which could help assess the outcomes of interests (COVID-19 severity, progression, and survival). ",b) no,no indication as to whether patients were still in hospital at end of study period,d) no statement,no indication as to whether patients were still in hospital at end of study period - 
135365,SuryanarayanaReddy 2022,Predictors of Mortality in Hospitalized African American Covid-19 Cancer Patients (preprint),Consensus,b) record linkage Ø  (e.g. identified through ICD codes on database records),"",a) consecutive or obviously representative series of cases Ø,"",b) hospital controls,"",a) no history of disease (endpoint) Ø,"",c) Study does not control for any factors,"",This study is a case-control study,"",This study is a case-control study,"",This study is a case-control study,"",This study is a case-control study,"",This study is a case-control study,"",This study is a case-control study,"",This study is a case-control study,"",This study is a case-control study,""
131660,Muge 2021,"Comparison of Systemic Immune-Inflammation Index (SII), Early Warning Score (ANDC) and Prognostic Nutritional Index (PNI) in Hospitalized Patients with Malignancy, and Their Influence on Mortality from COVID-19 (preprint)",Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"","c) selected group of users e.g. dock-workers, radiograph technicians, ethnic race , single centre","",a) drawn from the same community as the exposed cohort Ø,"",a) secure record (eg surgical records) Ø,"",b) no,"",b) study controls for age AND any additional factor Ø (This criteria could be modified to indicate specific control for a second important factor.),"","a) independent or blind assessment Ø (direct reference to RT-PCR/RAT/laboratory test, etc.)","",b) no,"",a) complete follow up - all subjects accounted for Ø,""
