Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
"Comorbidities and COVID-19 hospitalization, ICU admission and hospital mortality in Austria : A retrospective cohort study.","Rainer, Lukas; Bachner, Florian; Eglau, Karin; Ostermann, Herwig; Siebert, Uwe; Zuba, Martin","BACKGROUND: The protection of vulnerable populations is a central task in managing the Coronavirus disease 2019 (COVID-19) pandemic to avoid severe courses of COVID-19 and the risk of healthcare system capacity being exceeded. To identify factors of vulnerability in Austria, we assessed the impact of comorbidities on COVID-19 hospitalization, intensive care unit (ICU) admission, and hospital mortality., METHODS: A retrospective cohort study was performed including all patients with COVID-19 in the period February 2020 to December 2021 who had a previous inpatient stay in the period 2015-2019 in Austria. All patients with COVID-19 were matched to population controls on age, sex, and healthcare region. Multiple logistic regression was used to estimate adjusted odds ratios (OR) of included factors with 95% confidence intervals (CI)., RESULTS: Hemiplegia or paraplegia constitutes the highest risk factor for hospitalization (OR 1.61, 95% CI 1.44-1.79), followed by COPD (OR 1.48, 95% CI 1.43-1.53) and diabetes without complications (OR 1.41, 95% CI 1.37-1.46). The highest risk factors for ICU admission are renal diseases (OR 1.76, 95% CI 1.61-1.92), diabetes without complications (OR 1.57, 95% CI 1.46-1.69) and COPD (OR 1.53, 95% CI 1.41-1.66). Hemiplegia or paraplegia, renal disease and COPD constitute the highest risk factors for hospital mortality, with ORs of 1.5. Diabetes without complications constitutes a significantly higher risk factor for women with respect to all three endpoints., CONCLUSION: We contribute to the literature by identifying sex-specific risk factors. In general, our results are consistent with the literature, particularly regarding diabetes as a risk factor for severe courses of COVID-19. Due to the observational nature of our data, caution is warranted regarding causal interpretation. Our results contribute to the protection of vulnerable populations and may be used for targeting further pharmaceutical interventions. Copyright © 2022. The Author(s), under exclusive licence to Springer-Verlag GmbH Austria, part of Springer Nature.",2022,//,Wiener klinische Wochenschrift,,,,,https://dx.doi.org/10.1007/s00508-022-02036-9,,#59278,Rainer 2022,Fazal Shah (2023-11-06 00:01:18)(Select): COVID confirmed via PCR; adjusted ORs for ICU admission (Table 4) and mortality (Table 5) reported; ,cancer as comorbidity - included due to reasonable adjustments
Outcomes of hospital-acquired SARS-CoV-2 infection in the Canadian first wave epicentre: a retrospective cohort study.,"Melancon, Eve; Brosseau, Marc; Bartoli, Anthony; Labbe, Annie-Claude; Lavallee, Christian; Marchand-Senecal, Xavier; Wang, Han Ting","BACKGROUND: During the first wave of the COVID-19 pandemic, a substantial number of Quebec hospitals were hit by hospital-acquired (HA) SARS-CoV-2 infections. Our objective was to assess whether mortality is higher in HA cases than in non-hospital-acquired (NHA) cases and determine the prevalence of HA-SARS-CoV-2 infection in our hospital., METHODS: This retrospective single-centre cohort study included all adults (>= 18 yr) who had COVID-19, admitted to Hopital Maisonneuve-Rosemont (Montreal, Canada) from Mar. 1 to June 30, 2020. We collected data on demographic characteristics, comorbidities, treatment, admission to the intensive care unit (ICU) and mechanical ventilation requirements from electronic health records. We adjudicated hospital acquisition based on the timing of symptom onset, and polymerase chain reaction testing for and exposures to SARS-CoV-2. To evaluate the association between HA-SARS-CoV-2 infection and in-hospital mortality, we computed a multivariable logistic regression analysis including known risk factors for death in patients with COVID-19 as covariates., RESULTS: Among 697 patients with SARS-CoV-2 infection, 253 (36.3%) were classified as HA. The mortality rate was higher in the HA group than in the NHA group (38.2% v. 26.4%, p = 0.001), while the rates of ICU admission (8.3% v. 19.1%, p = 0.001) and requirement for mechanical ventilation (3.6% v. 13.0%, p = 0.001) were lower. Multivariable logistic regression analysis showed that HA-SARS-CoV-2 infection in patients younger than 75 years is an independent risk factor for death (odds ratio 2.78, 95% confidence interval 1.44-5.38)., INTERPRETATION: Our results show that HA-SARS-CoV-2 infection in younger patients was associated with higher mortality. Future studies need to evaluate relevant patient-centred long-term outcomes in this population. Copyright © 2022 CMA Impact Inc. or its licensors.",2022,//,CMAJ open,10,1,E74-E81,,https://dx.doi.org/10.9778/cmajo.20210055,,#59316,Melancon 2022,Fazal Shah (2023-11-07 03:03:48)(Select): COVID diagnosed via PCR; 152 total COVID patients with either solid or haematological cancer; Table 3 gives multivariate logistic regression ORs for mortality in patients with solid or haematological malignancy; ,cancer as comorbidity - included due to reasonable adjustments
Characteristics and predictors of death among 4035 consecutively hospitalized patients with COVID-19 in Spain.,"Berenguer, Juan; Ryan, Pablo; Rodriguez-Bano, Jesus; Jarrin, Inmaculada; Carratala, Jordi; Pachon, Jeronimo; Yllescas, Maria; Arriba, Jose Ramon; Group, COVID-19@Spain Study; SEIMC-GESIDA, Fundacion; Maranon, Hospital General Universitario Gregorio; Paz, Hospital Universitario La; Leonor, Hospital Infanta; Salud, Complejo Hospitalario Virgen de la; Mendez, Hospital Universitario Rafael; Cruces, Hospital Universitario de; Melilla, Hospital de; Barakaldo, Hospital San Eloy de; Asturias, Hospital Universitario Central de; Alicante, Hospital General Universitario de; Victoria, Hospital Virgen de la; Real, Hospital Universitario Puerto; Salnes, EOXI Pontevedra e; Figueres, Hospital de; Calella, Hospital Sant Jaume de; Mar, Hospital del; Arrixaca, Hospital Virgen de la; Misses, Hospital de Can; Sagunto, Hospital de; Cecilio, Hospital Clinico San; Asturias, Hospital Universitario Principe de; Deu, Parc Sanitari Sant Joan de; Gracia, Hospital Nuestra Senora de; Hospital, H C Marbella Internacional; Princesa, Hospital La; Trueta, Hospital Josep; Maig, Hospital Dos de; Vilanova-Lliria, Hospital Arnau de; Elche, Hospital General Universitario de; Valencia, Hospital Clinico Universitario de; Avila, Complejo Asistencial de; Alcaniz, Hospital Comarcal de; Valdecilla, Hospital Universitario Marques de; Torrevieja, Hospital Quiron-Salud de; Servet, Hospital Universitario Miguel; SCIAS, Hospital de Barcelona; Alcorcon, Fundacion Hospital Universitario; Cunqueiro, Hospital Alvaro; Salamanca, Complejo Asistencial Universitario de; Ochoa, Hospital Universitario Severo; CIMA-Sanitas, Hospital; Inmaculada, Hospital H L A; Hortega, Hospital Universitario Rio; Guadalajara, Hospital de; Sofia, Hospital Universitario Infanta; Blanes, Hospital Comarcal de; XXIII, Hospital Universitari de Tarragona Joan; Basurto, Hospital Universitario; Canarias, Hospital Universitario de; Negrin, Hospital Universitario de Gran Canaria Dr; Espases, Hospital Son; Mostoles, Hospital Universitario de; Coruna, Complejo Hospitalario Universitario A; Sol, Hospital Costa del; Blesa, Hospital Clinico Universitario Lozano; Terrassa, Hospital Mutua de; Plana, Hospital de la; Zamora, Hospital Virgen de la Concha-Complejo Asistencial de; Materno-Infantil, Complejo Hospitalario Universitario Insular; Baixa, Hospital de la Marina; Macarena, Hospital Universitario Virgen; Bellvitge, Hospital Universitari de; Fe, Hospital Universitario y Politecnico la; Vinalopo, Hospital Universitario del; Tauli), Hospital de Sabadell (Parc; Barcelona, Hospital Clinic de; Ribera, Hospital Universitario de la; Diaz, Fundacion Jimenez; Valladolid, Hospital Clinico Universitario de; Carlos, Hospital Clinico San; Pau, Hospital Santa Creu i Sant; Madrid, Clinica Universitaria de Navarra-Campus; Llatzer, Hospital Son; Ulla, Hospital General de la Defensa Gomez; Alava, Hospital Universitario de; Reyes, Hospital Santos; Orosa, Hospital Dr Jose Molina; d'Hebron, Hospital Vall; Carlos, Hospital Universitario Rey Juan; Lucia, Complejo Hospitalario Universitario Santa; Barbara, Hospital Santa; Ferrol, Complejo Hospitalario Universitario de; Sant, Hospital de l'Esperit; Menor, Hospital Universitario los Arcos del Mar; Moncloa, Hospital H L A Universitario; Puerto, Hospital Virgen del; Denia, Hospital Marina Salud de; Jerez, Hospital Universitario de; Tudela, Hospital Reina Sofia de; Compostela, Hospital Clinico Universitario de Santiago de; Henares, Hospital Universitario del; Augusti, Hospital Universitario Lucus; Donostia, Hospital de; Espinosa, Hospital de Urduliz Alfredo; Mendaro, Hospital de; Jimenez, Hospital Juan Ramon; Cinta, Hospital de Tortosa Virgen de la; Riotinto, Hospital; Baja, Hospital Vega; Hierro, Hospital Puerta de; Getafe, Hospital Universitario de; Palma, Hospital General de la; Bierzo, Hospital El; Calahorra, Fundacion Hospital de; Deba, Hospital Alto; Alicante, Hospital Universitario San Juan de; Guadarrama, Hospital de; Jaen, Hospital Universitario de; Mataro, Hospital de; Palamos, Hospital de; Valme, Hospital Universitario de; Navarra, Clinica Universitaria de Navarra-Campus; Benidorm, Hospital Clinica; Octubre, Hospital Doce de; Rocio, Hospital Universitario Virgen del; Cajal, Hospital Universitario Ramon y; Pedro, Hospital Universitario San; Coruna, Hospital Quiron A; Sanchinarro, H M; Borja, Hospital Francesc de; Candelaria, Complejo Hospitalario Universitario Nuestra Senora de La; Monteprincipe, Hospital Universitario H M; Sur, Hospital Universitario H M Puerta del; Torrelodones, Hospital Universitario H M; Madrid, Hospital Universitario H M; Serena, Hospital Don Benito-Villanueva de la; Viladecans, Hospital de; Epidemiologia, Centro Nacional de","OBJECTIVES: To analyse the characteristics and predictors of death in hospitalized patients with coronavirus disease 2019 (COVID-19) in Spain., METHODS: A retrospective observational study was performed of the first consecutive patients hospitalized with COVID-19 confirmed by real-time PCR assay in 127 Spanish centres until 17 March 2020. The follow-up censoring date was 17 April 2020. We collected demographic, clinical, laboratory, treatment and complications data. The primary endpoint was all-cause mortality. Univariable and multivariable Cox regression analyses were performed to identify factors associated with death., RESULTS: Of the 4035 patients, male subjects accounted for 2433 (61.0%) of 3987, the median age was 70 years and 2539 (73.8%) of 3439 had one or more comorbidity. The most common symptoms were a history of fever, cough, malaise and dyspnoea. During hospitalization, 1255 (31.5%) of 3979 patients developed acute respiratory distress syndrome, 736 (18.5%) of 3988 were admitted to intensive care units and 619 (15.5%) of 3992 underwent mechanical ventilation. Virus- or host-targeted medications included lopinavir/ritonavir (2820/4005, 70.4%), hydroxychloroquine (2618/3995, 65.5%), interferon beta (1153/3950, 29.2%), corticosteroids (1109/3965, 28.0%) and tocilizumab (373/3951, 9.4%). Overall, 1131 (28%) of 4035 patients died. Mortality increased with age (85.6% occurring in older than 65 years). Seventeen factors were independently associated with an increased hazard of death, the strongest among them including advanced age, liver cirrhosis, low age-adjusted oxygen saturation, higher concentrations of C-reactive protein and lower estimated glomerular filtration rate., CONCLUSIONS: Our findings provide comprehensive information about characteristics and complications of severe COVID-19, and may help clinicians identify patients at a higher risk of death. Copyright © 2020 European Society of Clinical Microbiology and Infectious Diseases. Published by Elsevier Ltd. All rights reserved.",2020,//,Clinical microbiology and infection : the official publication of the European Society of Clinical Microbiology and Infectious Diseases,26,11,1525-1536,,https://dx.doi.org/10.1016/j.cmi.2020.07.024,,#59697,Berenguer 2020,Anita Patel (2023-11-02 18:50:50)(Select): multivariable HR for cancer and death on fig.2 p.8; Shazia  Sarela (2023-11-02 06:49:55)(Select): cancer as a comorbidity = 267 cancer patients out of 3998; ,cancer as comorbidity - included due to reasonable adjustments; haematological cancers included
Outcomes of the 2019 novel coronavirus in patients with or without a history of cancer: A multi-centre North London experience,"N., Nalinie Joharatnam-Hogan; D., Daniel Hochhauser; K.-K., Shiu; H., Rush; V., Crolley; E., Butcher; A., Sharma; A., Muhammad; N., Vasdev; M., Anwar; G., Kantser; A., Saha; F., Raja; J., Bridgewater; , Khan K H","Background: The high prevalence and associated healthcare, social and economic challenges of the 2019 novel coronavirus disease (COVID-19) suggests this pandemic is likely to have a major impact on cancer management, and has been shown to potentially have worse outcomes in this cohort of vulnerable patients. This study aims to compare the outcomes of RT-PCR confirmed COVID-19 positive disease in patients with or without a history of cancer. Method(s): We retrospectively collected clinical, pathological and radiological characteristics and outcomes of COVID-19 RT-PCR positive cancer patients treated consecutively in 5 different North London hospitals (cohort A) and compared their outcomes to consecutively admitted COVID-19 positive patients without a history of cancer (cohort B). Patients were matched for age, gender and comorbidty and treated during the same time period (1st March- 30th April 2020). Result(s): The median age in both cohorts was 74 years, with 67% male, and comprised of 30 patients with cancer, and 90 without (1:3 ratio). For cohort B, 579 patients without a history of cancer and consecutively admitted were screened from the primary London hospital, 105 were COVID-19 positive and 90 were matched and included. Excluding cancer, both cohorts had a median of 2 comorbidities. The odds ratio (OR) for mortality, comparing patients with cancer to those without, was 1.05 (95% CI 0.4-2.5), and severe outcome (OR 0.89, 95% CI 0.4-2.0) suggesting no increased risk of death or a severe outcome in patients with cancer. Cancer patients who received systemic treatment within 28 days had an OR for mortality of 4.05 (95% CI 0.68-23.95), p=0.12. On presentation anaemia, hypokalaemia, hypoalbuminaemia and hypoproteinaemia were identified predominantly in cohort A. Median duration of admission was 8 days for cancer patients and 7 days for non-cancer. Conclusion(s): Old age, late stage of cancer diagnosis and multiple co-morbidities adversely influence the outcome of patients with COVID-19 positive patients. These data do not demonstrate a higher risk to cancer patients compared to their non-cancer counterparts. If a second peak of pandemic strikes, a coordinated response of all overlapping specialities in the fight against cancer is required. Legal entity responsible for the study: Research and Ethics Committee North Middlesex University Hospital. Funding(s): Has not received any funding. Disclosure: All authors have declared no conflicts of interest.Copyright © 2020",2020,//,Annals of Oncology,31,Supplement 4,S1209-S1209,,https://dx.doi.org/10.1016/j.annonc.2020.08.2324,,#59743,N 2020,"Anushka Irodi (2023-11-27 23:53:44)(Select): From James on preprint paper: note for quality assessment: cases and controls are not explicitly matched, however, a Fisher's exact test reveals that the cohorts are matched for gender ( x2 (N=52,1) = 1, p>.05)
; ",cancer diagnosis time unknown (do not proceed for now); true cancer vs non-cancer
"Clinical characteristics and risk factors associated with COVID-19 disease severity in patients with cancer in Wuhan, China: a multicentre, retrospective, cohort study","J., Tian; X., Yuan; J., Xiao; Q., Zhong; C., Yang; B., Liu; Y., Cai; Z., Lu; Y., Wang; S., Liu; B., Cheng; J., Wang; M., Zhang; L., Wang; S., Niu; Z., Yao; X., Deng; F., Zhou; W., Wei; Q., Li; X., Chen; W., Chen; Q., Yang; S., Wu; J., Fan; B., Shu; Z., Hu; S., Wang; X.-P., Yang; W., Liu; X., Miao; , Wang Z","Background: COVID-19 has spread globally. Epidemiological susceptibility to COVID-19 has been reported in patients with cancer. We aimed to systematically characterise clinical features and determine risk factors of COVID-19 disease severity for patients with cancer and COVID-19. Method(s): In this multicentre, retrospective, cohort study, we included all adult patients (aged >=18 years) with any type of malignant solid tumours and haematological malignancy who were admitted to nine hospitals in Wuhan, China, with laboratory-confirmed COVID-19 between Jan 13 and March 18, 2020. Enrolled patients were statistically matched (2:1) with patients admitted with COVID-19 who did not have cancer with propensity score on the basis of age, sex, and comorbidities. Demographic characteristics, laboratory examinations, illness severity, and clinical interventions were compared between patients with COVID-19 with or without cancer as well as between patients with cancer with non-severe or severe COVID-19. COVID-19 disease severity was defined on admission on the basis of the WHO guidelines. Univariable and multivariable logistic regression, adjusted for age, sex, comorbidities, cancer type, tumour stage, and antitumour treatments, were used to explore risk factors associated with COVID-19 disease severity. This study was registered in the Chinese Clinical Trial Register, ChiCTR2000030807. Finding(s): Between Jan 13 and March 18, 2020, 13 077 patients with COVID-19 were admitted to the nine hospitals in Wuhan and 232 patients with cancer and 519 statistically matched patients without cancer were enrolled. Median follow-up was 29 days (IQR 22-38) in patients with cancer and 27 days (20-35) in patients without cancer. Patients with cancer were more likely to have severe COVID-19 than patients without cancer (148 [64%] of 232 vs 166 [32%] of 519; odds ratio [OR] 3.61 [95% CI 2.59-5.04]; p<0.0001). Risk factors previously reported in patients without cancer, such as older age; elevated interleukin 6, procalcitonin, and D-dimer; and reduced lymphocytes were validated in patients with cancer. We also identified advanced tumour stage (OR 2.60, 95% CI 1.05-6.43; p=0.039), elevated tumour necrosis factor alpha (1.22, 1.01-1.47; p=0.037), elevated N-terminal pro-B-type natriuretic peptide (1.65, 1.03-2.78; p=0.032), reduced CD4+ T cells (0.84, 0.71-0.98; p=0.031), and reduced albumin-globulin ratio (0.12, 0.02-0.77; p=0.024) as risk factors of COVID-19 severity in patients with cancer. Interpretation(s): Patients with cancer and COVID-19 were more likely to deteriorate into severe illness than those without cancer. The risk factors identified here could be helpful for early clinical surveillance of disease progression in patients with cancer who present with COVID-19. Funding(s): China National Natural Science Foundation.Copyright © 2020 Elsevier Ltd",2020,//,The Lancet Oncology,21,7,893-903,,https://dx.doi.org/10.1016/S1470-2045%2820%2930309-0,,#60572,J 2020,Justine Chan (2023-10-29 00:12:20)(Select): FU to death is up to 38 days in cancer patients (Table 1); NIHAL SOGANDJI (2023-09-04 18:20:36)(Select): Mentions cancer type information is included in the appendix.; ,cancer diagnosis time unknown (do not proceed for now); cancer diagnosis time unknown (do not proceed); true cancer vs non-cancer
Covid-19 in patients with hematological and solid cancers at a Comprehensive Cancer Center in Germany,"K., Shoumariyeh; F., Biavasco; G., Ihorst; S., Rieg; A., Nieters; W.V., Kern; C., Miething; J., Duyster; M., Engelhardt; Bertz H.  AO  - Shoumariyeh, Khalid; ORCID: https://orcid.org/0000-0001-7969-1972","Background: Patients with cancer are considered a high-risk group for viral pneumonia, with an increased probability of fatal outcome. Here, we investigated the clinical characteristics and outcome of patients with solid and hematological cancers and concomitant Covid-19 at a Comprehensive Cancer Center in a Covid-19 hotspot area in Germany. Method(s): We performed a retrospective single center cohort study of 39 patients with hematological and solid cancers who were hospitalized at the University Hospital Freiburg for Covid-19. Using univariate and multivariate Cox regression models we compared time to severe events and overall survival to an age-matched control cohort of 39 patients with confirmed Covid-19 without a cancer diagnosis. Result(s): In the cancer cohort 29 patients had a diagnosis of a solid tumor, and 10 had a hematological malignancy. In total, eight patients (21%) in the cancer and 14 patients (36%) from the noncancer cohort died during the observation period. Presence of a malignancy was not significantly associated with survival or time to occurrence of severe events. Major influences on mortality were high IL-6 levels at Covid-19 diagnosis (HR = 6.95, P =.0121) and age >= 65 years (HR = 6.22, P =.0156). Conclusion(s): Compared to an age-matched noncancer cohort, we did not observe an association between a cancer diagnosis and a more severe disease course or higher fatality rate in patients with Covid-19. Patients with a hematological malignancy showed a trend towards a longer duration until clinical improvement and longer hospitalization time compared to patients with a solid cancer. Cancer per se does not seem to be a confounder for dismal outcome in Covid-19.Copyright © 2020 The Authors. Cancer Medicine published by John Wiley & Sons Ltd.",2020,//,Cancer Medicine,9,22,8412-8422,,https://dx.doi.org/10.1002/cam4.3460,,#61253,K 2020,"Jose Chen-Xu (2023-11-13 02:25:06)(Included): careful that the outcome here is not death, is survival. Re-do analysis for death.; ",haematological cancers included; true cancer vs non-cancer
Characteristics and Outcomes of 35 Breast Cancer Patients Infected With COVID-19,"B., Zhang; R., Xie; S.M., Hubert; Y., Yu; Y., Zhang; X., Lei; W., Deng; J., Chen; , Li Y","Since December 2019, a novel coronavirus disease (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) has rapidly engulfed the world. Cancer patients infected with COVID-19 are considered to carry higher severity of the disease and higher mortality rate than common COVID-19 patients in previous studies. However, due to the poor clinical information on COVID-19 patients with cancer, the evidences that supported this conclusion are insufficient. At present, rather limited reports have analyzed the clinical data of breast cancer patients infected with COVID-19. Therefore, in this retrospective study, we described the clinical characteristics and the outcomes of 35 COVID-19 patients with breast cancer and compared 55 COVID-19 patients without cancer and 81 COVID-19 patients with other types of cancer as controls. Our data showed that there were no differences in disease severity and outcomes between the COVID-19 patients with breast cancer and the common COVID-19 patients, which was in contrast to previous studies. In addition, compared with other types of cancer patients, asymptomatic infections and mild cases among breast cancer patients made up a substantially larger proportion. Our results indicated that the clinical characteristics of breast cancer patients were milder than those of other types of cancer patients, but there were no significant differences in outcomes between the two groups.© Copyright © 2020 Zhang, Xie, Hubert, Yu, Zhang, Lei, Deng, Chen and Li.",2020,//,Frontiers in Oncology,10,,570130-570130,,https://dx.doi.org/10.3389/fonc.2020.570130,,#61478,B 2020,"",true cancer vs non-cancer
Impact of chronic liver disease upon admission on COVID-19 in-hospital mortality: Findings from COVOCA study,"R., Galiero; P.C., Pafundi; V., Simeon; L., Rinaldi; A., Perrella; E., Vetrano; A., Caturano; M., Alfano; D., Beccia; R., Nevola; R., Marfella; C., Sardu; C., Coppola; F., Scarano; P., Maggi; P., de Lucia Sposito; L., Vocciante; C., Rescigno; C., Sbreglia; F., Fraganza; R., Parrella; A., Romano; G., Calabria; B., Polverino; A., Pagano; C., Bologna; M., Amitrano; V., Esposito; N., Coppola; N., Maturo; L.E., Adinolfi; P., Chiodini; , Sasso F C","Background Italy has been the first Western country to be heavily affected by the spread of SARS-COV-2 infection and among the pioneers of the clinical management of pandemic. To improve the outcome, identification of patients at the highest risk seems mandatory. Objectives Aim of this study is to identify comorbidities and clinical conditions upon admission associated with in-hospital mortality in several COVID Centers in Campania Region (Italy). Methods COVOCA is a multicentre retrospective observational cohort study, which involved 18 COVID Centers throughout Campania Region, Italy. Data were collected from patients who completed their hospitalization between March-June 2020. The endpoint was in-hospital mortality, assessed either from data at discharge or death certificate, whilst all exposure variables were collected at hospital admission. Results Among 618 COVID-19 hospitalized patients included in the study, 143 in-hospital mortality events were recorded, with a cumulative incidence of about 23%. At multivariable logistic analysis, male sex (OR 2.63, 95%CI 1.42-4.90; p = 0.001), Chronic Liver Disease (OR 5.88, 95%CI 2.39-14.46; p<0.001) and malignancies (OR 2.62, 95%CI 1.21-5.68; p = 0.015) disclosed an independent association with a poor prognosis, Glasgow Coma Scale (GCS) and Respiratory Severity Scale allowed to identify at higher mortality risk. Sensitivity analysis further enhanced these findings. Conclusion Mortality of patients hospitalized for COVID-19 appears strongly affected by both clinical conditions on admission and comorbidities. Originally, we observed a very poor outcome in subjects with a chronic liver disease, alongside with an increase of hepatic damage.Copyright © 2020 Galiero et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",2020,//,PLoS ONE,15,12 December,e0243700-e0243700,,https://dx.doi.org/10.1371/journal.pone.0243700,,#61730,R 2020,"",cancer as comorbidity - included due to reasonable adjustments
Case fatality rate of cancer patients with COVID-19 in a New York Hospital system,"V., Mehta; S., Goel; R., Kabarriti; D., Cole; M., Goldfinger; A., Acuna-Villaorduna; K., Pradhan; R., Thota; S., Reissman; J.A., Sparano; B.A., Gartrell; R.V., Smith; N., Ohri; M., Garg; A.D., Racine; S., Kalnicki; R., Perez-Soler; B., Halmos; , Verma A","Patients with cancer are presumed to be at increased risk from COVID-19 infection-related fatality due to underlying malignancy, treatment-related immu-nosuppression, or increased comorbidities. A total of 218 COVID-19-positive patients from March 18, 2020, to April 8, 2020, with a malignant diagnosis were identified. A total of 61 (28%) patients with cancer died from COVID-19 with a case fatality rate (CFR) of 37% (20/54) for hematologic malignancies and 25% (41/164) for solid malignancies. Six of 11 (55%) patients with lung cancer died from COVID-19 disease. Increased mortality was significantly associated with older age, multiple comor-bidities, need for ICU support, and elevated levels of D-dimer, lactate dehydrogenase, and lactate in multivariate analysis. Age-adjusted CFRs in patients with cancer compared with noncancer patients at our institution and New York City reported a significant increase in case fatality for patients with can-cer. These data suggest the need for proactive strategies to reduce likelihood of infection and improve early identification in this vulnerable patient population. SIGNIFICANCE: COVID-19 in patients with cancer is associated with a significantly increased risk of case fatality, suggesting the need for proactive strategies to reduce likelihood of infection and improve early identification in this vulnerable patient population.Copyright © 2020 American Association for Cancer Research.",2020,//,Cancer Discovery,10,7,935-941,,https://dx.doi.org/10.1158/2159-8290.CD-20-0516,,#61922,V 2020,Justine Chan (2023-10-31 08:23:25)(Select): table 4; ,cancer diagnosis time unknown (do not proceed for now); true cancer vs non-cancer; univariate only; univariate only (matched characteristics)
Outcomes of covid-19 patients under cytotoxic cancer chemotherapy in brazil,"M.B.O., Duarte; F., Leal; J.L.P., Argenton; , Carvalheira J B C","Background: Cancer patients present a distinct vulnerability to COVID-19. It is unclear if chemotherapy could accentuate the overall risk in these patients. Method(s): We performed a retrospective analysis linking COVID-19 data and oncological information systems to compare lethality in patients undergoing cytotoxic chemotherapy before COVID-19. We considered patients who received chemotherapy in the last 30 days as in ""active treatment"", and patients who did not receive drugs in this period as ""non-active treatment"" for propensity-score pair matching. We also tested the influence of baseline variables in our results in a multivariate model. Result(s): 66.1% (162/246) of patients in matched active chemotherapy died vs. 70.2% (172/246) in the matched non-active chemotherapy group. The risk of death was positively associated with palliative intent of treatment and hematologic neoplasms. Being in active chemotherapy was not associated with increased mortality compared to non-active treatment. We also noted in exploratory propensity-score matchings that the use of alkylating agents (odds ratio [OR] 0.38, 95% confidence interval [CI], 0.21-0.70) and topoisomerase II inhibitors (OR 0.28, 95% CI 0.14-0.56) were protective factors. Conclusion(s): This study does not demonstrate an increase in mortality for cancer patients under active cytotoxic chemotherapy with COVID-19.Copyright © 2020 by the authors. Licensee MDPI, Basel, Switzerland.",2020,//,Cancers,12,12,1-13,,https://dx.doi.org/10.3390/cancers12123490,,#61946,M 2020,Abigail Burn (2023-10-10 23:30:07)(Select): Mainly looking at whether active chemotherapy affects mortality in cancer patients with COVID-19. Does include non-cancer control group.; James Morris (2023-10-10 23:11:27)(Select): cancer vs non cancer mortality given in supplementary table S1; ,true cancer vs non-cancer; univariate only
