"Study.ID","start.date","end.date","country","GISAID_count_with_passages"
"141173_Alsakarneh 2024","2020-01-01","2024-02-01","USA",4594300
"138896_Li 2024","2022-11-01","2023-02-11","China",16959
"73804_Starkey 2023","2020-11-01","2022-08-31","United Kingdom",2627905
"72854_Konermann 2023","2020-03-11","2022-07-20","Germany",762835
"72854_Konermann 2023(Omicron)","2022-01-01","2022-07-20","Germany",400408
"72854_Konermann 2023(WT to Delta)","2020-03-11","2022-01-01","Germany",363004
"140255_Park 2024","2020-01-01","2022-03-31","South Korea",34248
"71628_Turtle 2023","2020-01-17","2022-02-28","United Kingdom",2226782
"71628_Turtle 2023(wave 4-Omicron)","2021-12-13","2022-02-28","United Kingdom",704977
"71628_Turtle 2023(wave 3-Delta)","2021-04-01","2021-12-12","United Kingdom",1113049
"71628_Turtle 2023(wave 2-Alpha)","2020-09-01","2021-03-31","United Kingdom",315439
"71628_Turtle 2023(wave 1-D614G)","2020-01-17","2020-08-31","United Kingdom",50496
"71402_Salvatore 2023","2020-03-10","2022-02-02","USA",2766139
"71915_Leuva 2022","2020-12-14","2022-01-25","USA",2491879
"73383_Hosseini-Moghaddam 2023","2020-01-01","2021-12-31","Canada",269708
"141132_Sullivan 2023","2020-01-01","2021-12-20","USA",2186094
"71512_Nolan 2023","2020-02-01","2021-09-30","USA",1519079
"74954_Kodde 2023","2020-01-01","2021-08-01","Germany",157637
"68513_Udovica 2022","2020-03-01","2021-03-31","Austria",4835
"75567_Bazgir 2022","2020-03-05","2021-03-21","Iran",769
"67898_Plais 2022","2020-03-12","2021-03-08","France",27944
"66861_Chavez-MacGregor 2022","2020-01-01","2021-01-28","USA",284103
"70896_Abuhelwa 2022","2020-01-01","2020-12-31","USA",212435
"69998_Serraino 2021","2020-02-26","2020-12-31","Italy",5301
"68083_Kim 2022","2020-06-01","2020-12-31","USA",169838
"75065_Zhou 2023","2020-01-01","2020-12-08","Hong Kong",2653
"71633_Raad 2023","2020-01-04","2020-11-15","Australia",16554
"71633_Raad 2023","2020-01-04","2020-11-15","Brazil",7716
"71633_Raad 2023","2020-01-04","2020-11-15","France",11622
"71633_Raad 2023","2020-01-04","2020-11-15","Japan",15867
"71633_Raad 2023","2020-01-04","2020-11-15","Lebanon",211
"71633_Raad 2023","2020-01-04","2020-11-15","Singapore",1507
"71633_Raad 2023","2020-01-04","2020-11-15","South Korea",1828
"71633_Raad 2023","2020-01-04","2020-11-15","Spain",8675
"71633_Raad 2023","2020-01-04","2020-11-15","USA",146909
"67122_Rugge 2022","2020-02-22","2020-07-31","Italy",2074
"72593_Anantharaman 2021","2020-02-25","2020-06-08","USA",45070
"81620_Johannesen 2021","2020-01-01","2020-05-31","Norway",393
"62182_Sng 2020","2020-03-01","2020-05-31","United Kingdom",33850
"67144_Alpert 2021","2020-03-01","2020-05-27","USA",41358
"65844_Bertuzzi 2021","2020-02-27","2020-05-20","Italy",1692
"62120_Brar 2020","2020-03-03","2020-05-15","USA",37300
"70019_Klein 2021","2020-03-13","2020-05-10","USA",33273
"78588_Dai 2020","2020-01-01","2020-03-01","China",1006
