"location","start_date","end_date","lineage","total_lineage_count","Study ID"
"United Kingdom","2022-01-01","2022-12-31","ay.120",31,"138865_Evans 2023"
"United Kingdom","2022-01-01","2022-12-31","ay.39",1,"138865_Evans 2023"
"United Kingdom","2022-01-01","2022-12-31","ay.4",1080,"138865_Evans 2023"
"United Kingdom","2022-01-01","2022-12-31","ay.4.2",496,"138865_Evans 2023"
"United Kingdom","2022-01-01","2022-12-31","ay.4.2.1",135,"138865_Evans 2023"
"United Kingdom","2022-01-01","2022-12-31","ay.4.2.2",373,"138865_Evans 2023"
"United Kingdom","2022-01-01","2022-12-31","ay.43",163,"138865_Evans 2023"
"United Kingdom","2022-01-01","2022-12-31","ay.5",48,"138865_Evans 2023"
"United Kingdom","2022-01-01","2022-12-31","ay.6",19,"138865_Evans 2023"
"United Kingdom","2022-01-01","2022-12-31","ay.98",135,"138865_Evans 2023"
"United Kingdom","2022-01-01","2022-12-31","b",12,"138865_Evans 2023"
"United Kingdom","2022-01-01","2022-12-31","b.1",3,"138865_Evans 2023"
"United Kingdom","2022-01-01","2022-12-31","b.1.1",67,"138865_Evans 2023"
"United Kingdom","2022-01-01","2022-12-31","b.1.1.7",9,"138865_Evans 2023"
"United Kingdom","2022-01-01","2022-12-31","b.1.617.2",73,"138865_Evans 2023"
"United Kingdom","2022-01-01","2022-12-31","ba.1",119386,"138865_Evans 2023"
"United Kingdom","2022-01-01","2022-12-31","ba.1.1",180521,"138865_Evans 2023"
"United Kingdom","2022-01-01","2022-12-31","ba.1.15",16584,"138865_Evans 2023"
"United Kingdom","2022-01-01","2022-12-31","ba.1.15.1",22673,"138865_Evans 2023"
"United Kingdom","2022-01-01","2022-12-31","ba.1.17.2",88728,"138865_Evans 2023"
"United Kingdom","2022-01-01","2022-12-31","ba.2",350981,"138865_Evans 2023"
"United Kingdom","2022-01-01","2022-12-31","ba.2.10",16144,"138865_Evans 2023"
"United Kingdom","2022-01-01","2022-12-31","ba.2.12.1",5216,"138865_Evans 2023"
"United Kingdom","2022-01-01","2022-12-31","ba.2.18",3671,"138865_Evans 2023"
"United Kingdom","2022-01-01","2022-12-31","ba.2.23",12201,"138865_Evans 2023"
"United Kingdom","2022-01-01","2022-12-31","ba.2.3",18109,"138865_Evans 2023"
"United Kingdom","2022-01-01","2022-12-31","ba.2.9",27432,"138865_Evans 2023"
"United Kingdom","2022-01-01","2022-12-31","ba.4",8620,"138865_Evans 2023"
"United Kingdom","2022-01-01","2022-12-31","ba.4.1",5233,"138865_Evans 2023"
"United Kingdom","2022-01-01","2022-12-31","ba.4.6",3581,"138865_Evans 2023"
"United Kingdom","2022-01-01","2022-12-31","ba.5.1",24935,"138865_Evans 2023"
"United Kingdom","2022-01-01","2022-12-31","ba.5.2",17784,"138865_Evans 2023"
"United Kingdom","2022-01-01","2022-12-31","ba.5.2.1",16095,"138865_Evans 2023"
"United Kingdom","2022-01-01","2022-12-31","ba.5.2.13",1204,"138865_Evans 2023"
"United Kingdom","2022-01-01","2022-12-31","ba.5.2.20",1519,"138865_Evans 2023"
"United Kingdom","2022-01-01","2022-12-31","ba.5.2.3",2240,"138865_Evans 2023"
"United Kingdom","2022-01-01","2022-12-31","ba.5.2.35",1163,"138865_Evans 2023"
"United Kingdom","2022-01-01","2022-12-31","ba.5.2.6",989,"138865_Evans 2023"
"United Kingdom","2022-01-01","2022-12-31","be.1",5325,"138865_Evans 2023"
"United Kingdom","2022-01-01","2022-12-31","be.1.1",3924,"138865_Evans 2023"
"United Kingdom","2022-01-01","2022-12-31","bf.1",2410,"138865_Evans 2023"
"United Kingdom","2022-01-01","2022-12-31","bf.11",1610,"138865_Evans 2023"
"United Kingdom","2022-01-01","2022-12-31","bf.5",1950,"138865_Evans 2023"
"United Kingdom","2022-01-01","2022-12-31","bf.7",3421,"138865_Evans 2023"
"United Kingdom","2022-01-01","2022-12-31","bn.1.5",891,"138865_Evans 2023"
"United Kingdom","2022-01-01","2022-12-31","bq.1",1408,"138865_Evans 2023"
"United Kingdom","2022-01-01","2022-12-31","bq.1.1",10769,"138865_Evans 2023"
"United Kingdom","2022-01-01","2022-12-31","bq.1.1.13",679,"138865_Evans 2023"
"United Kingdom","2022-01-01","2022-12-31","bq.1.1.2",777,"138865_Evans 2023"
"United Kingdom","2022-01-01","2022-12-31","bq.1.1.8",1296,"138865_Evans 2023"
"United Kingdom","2022-01-01","2022-12-31","bq.1.2",840,"138865_Evans 2023"
"United Kingdom","2022-01-01","2022-12-31","bq.1.8",1738,"138865_Evans 2023"
"United Kingdom","2022-01-01","2022-12-31","ch.1.1",2400,"138865_Evans 2023"
"United Kingdom","2022-01-01","2022-12-31","ch.1.1.1",1146,"138865_Evans 2023"
"United Kingdom","2022-01-01","2022-12-31","ch.1.1.2",292,"138865_Evans 2023"
"United Kingdom","2022-01-01","2022-12-31","ch.1.1.6",14,"138865_Evans 2023"
"United Kingdom","2022-01-01","2022-12-31","du.1",139,"138865_Evans 2023"
"United Kingdom","2022-01-01","2022-12-31","other",169090,"138865_Evans 2023"
"United Kingdom","2022-01-01","2022-12-31","xbb.1",953,"138865_Evans 2023"
"United Kingdom","2022-01-01","2022-12-31","xbb.1.5",479,"138865_Evans 2023"
"United Kingdom","2022-01-01","2022-12-31","xbb.1.5.13",15,"138865_Evans 2023"
"United Kingdom","2022-01-01","2022-12-31","xbb.1.5.18",3,"138865_Evans 2023"
"United Kingdom","2022-01-01","2022-12-31","xbb.1.5.7",17,"138865_Evans 2023"
"United Kingdom","2022-01-01","2022-12-31","xbb.1.9.1",5,"138865_Evans 2023"
