"Study ID","dateFrom","dateTo","countries","genbankOPEN_total"
"138896_Li 2024","2022-11-01","2023-02-11","China",2813
"140255_Park 2024","2020-01-01","2022-03-31","South Korea",132
"141132_Sullivan 2023","2020-01-01","2021-12-20","United States",1785472
"141173_Alsakarneh 2024","2020-01-01","2024-02-01","United States",3598944
"62120_Brar 2020","2020-03-03","2020-05-15","USA",24441
"62182_Sng 2020","2020-03-01","2020-05-31","UK",38651
"65844_Bertuzzi 2021","2020-02-27","2020-05-20","Italy",117
"66861_Chavez-MacGregor 2022","2020-01-01","2021-01-28","USA",165348
"67122_Rugge 2022","2020-02-22","2020-07-31","Italy",150
"67144_Alpert 2021","2020-03-01","2020-05-27","USA",27030
"67898_Plais 2022","2020-03-12","2021-03-08","France",13831
"68083_Kim 2022","2020-06-01","2020-12-31","USA",97324
"68513_Udovica 2022","2020-03-01","2021-03-31","Austria",111
"69998_Serraino 2021","2020-02-26","2020-12-31","Italy",258
"70019_Klein 2021","2020-03-13","2020-05-10","USA",21681
"70896_Abuhelwa 2022","2020-01-01","2020-12-31","USA",125174
"71402_Salvatore 2023","2020-03-10","2022-02-02","USA",2236452
"71512_Nolan 2023","2020-02-01","2021-09-30","USA",1207083
"71628_Turtle 2023","2020-01-17","2022-02-28","United Kingdom",2440681
"71628_Turtle 2023(wave 1-D614G)","2020-01-17","2020-08-31","United Kingdom",55416
"71628_Turtle 2023(wave 2-Alpha)","2020-09-01","2021-03-31","United Kingdom",347350
"71628_Turtle 2023(wave 3-Delta)","2021-04-01","2021-12-12","United Kingdom",1209429
"71628_Turtle 2023(wave 4-Omicron)","2021-12-13","2022-02-28","United Kingdom",828486
"71633_Raad 2023","2020-01-04","2020-11-15","Australia, Brazil, France, Japan, Lebanon, Singapore, South Korea, Spain, USA",979686
"71915_Leuva 2022","2020-12-14","2022-01-25","USA",2056164
"72593_Anantharaman 2021","2020-02-25","2020-06-08","USA",29357
"72854_Konermann 2023","2020-03-11","2022-07-20","Germany",1068520
"72854_Konermann 2023(Omicron)","2022-01-01","2022-07-20","Germany",534660
"72854_Konermann 2023(WT to Delta)","2020-03-11","2022-01-01","Germany",534793
"73383_Hosseini-Moghaddam 2023","2020-01-01","2021-12-31","Canada",87
"73804_Starkey 2023","2020-11-01","2022-08-31","England",2883601
"74954_Kodde 2023","2020-01-01","2021-08-01","Germany",212932
"75065_Zhou 2023","2020-01-01","2020-12-08","China",238
"75567_Bazgir 2022","2020-03-05","2021-03-21","Iran",14
"78588_Dai 2020","2020-01-01","2020-03-01","China",373
"81620_Johannesen 2021","2020-01-01","2020-05-31","Norway",1
