"Study ID","dateFrom","dateTo","variant","sumcount","freq","per","source","Outbreak_count_total"
"141173_Alsakarneh 2024","2020-01-01","2024-02-01","Early-clades",256888,0.0713787155343345,"7%","LAPIS",NA
"141173_Alsakarneh 2024","2020-01-01","2024-02-01","Beta",2285,0.000634908462037753,"0%","LAPIS",NA
"141173_Alsakarneh 2024","2020-01-01","2024-02-01","Alpha",194673,0.0540917002320681,"5%","LAPIS",NA
"141173_Alsakarneh 2024","2020-01-01","2024-02-01","Gamma",22059,0.00612929792739204,"1%","LAPIS",NA
"141173_Alsakarneh 2024","2020-01-01","2024-02-01","Delta",1213703,0.337238645558253,"34%","LAPIS",NA
"141173_Alsakarneh 2024","2020-01-01","2024-02-01","Kappa",247,6.86312429423742e-05,"0%","LAPIS",NA
"141173_Alsakarneh 2024","2020-01-01","2024-02-01","Epsilon",45578,0.0126642704082086,"1%","LAPIS",NA
"141173_Alsakarneh 2024","2020-01-01","2024-02-01","Eta",1062,0.000295086558723892,"0%","LAPIS",NA
"141173_Alsakarneh 2024","2020-01-01","2024-02-01","Theta",19,5.27932638018263e-06,"0%","LAPIS",NA
"141173_Alsakarneh 2024","2020-01-01","2024-02-01","Iota",37318,0.010369152729245,"1%","LAPIS",NA
"141173_Alsakarneh 2024","2020-01-01","2024-02-01","Lambda",1135,0.00031537028639512,"0%","LAPIS",NA
"141173_Alsakarneh 2024","2020-01-01","2024-02-01","Mu",5365,0.00149071505419367,"0%","LAPIS",NA
"141173_Alsakarneh 2024","2020-01-01","2024-02-01","Omicron_BA",1533061,0.425975230512061,"43%","LAPIS",NA
"141173_Alsakarneh 2024","2020-01-01","2024-02-01","Omicron_XBB",245892,0.0683233748566246,"7%","LAPIS",NA
"141173_Alsakarneh 2024","2020-01-01","2024-02-01","Omicron_JN",32276,0.00896818622351445,"1%","LAPIS",NA
"141173_Alsakarneh 2024","2020-01-01","2024-02-01",NA,7383,0.0020514350876257,"0%","LAPIS",NA
"138896_Li 2024","2022-11-01","2023-02-11","Omicron_BA",2810,0.998933522929257,"100%","LAPIS",NA
"138896_Li 2024","2022-11-01","2023-02-11","Omicron_XBB",3,0.00106647707074298,"0%","LAPIS",NA
"73804_Starkey 2023","2020-11-01","2022-08-31","Early-clades",77902,0.0270155267667059,"3%","LAPIS",NA
"73804_Starkey 2023","2020-11-01","2022-08-31","Beta",1070,0.000371063819162221,"0%","LAPIS",NA
"73804_Starkey 2023","2020-11-01","2022-08-31","Alpha",284516,0.0986669098810827,"10%","LAPIS",NA
"73804_Starkey 2023","2020-11-01","2022-08-31","Gamma",273,9.46732921787723e-05,"0%","LAPIS",NA
"73804_Starkey 2023","2020-11-01","2022-08-31","Delta",1176682,0.408059922298543,"41%","LAPIS",NA
"73804_Starkey 2023","2020-11-01","2022-08-31","Kappa",552,0.000191427316053781,"0%","LAPIS",NA
"73804_Starkey 2023","2020-11-01","2022-08-31","Epsilon",22,7.6293495528681e-06,"0%","LAPIS",NA
"73804_Starkey 2023","2020-11-01","2022-08-31","Eta",536,0.00018587869819715,"0%","LAPIS",NA
"73804_Starkey 2023","2020-11-01","2022-08-31","Theta",9,3.12109754435513e-06,"0%","LAPIS",NA
"73804_Starkey 2023","2020-11-01","2022-08-31","Iota",23,7.97613816890756e-06,"0%","LAPIS",NA
