,Covidence ID,Reference,Number of Patients with SARS-CoV-2 and cancer,Number of Patients with SARS-CoV-2 without cancer,Total Number of patients,Smoking Number (cancer),Smoking Percentage (cancer),Smoking Number (control),Smoking Percentage (control),Smoking Measure of Association,Smoking OR/RR value,Smoking 95% Confidence Interval,Smoking p-value,Hypertension Number (cancer),Hypertension Percentage (cancer),Hypertension Number (control),Hypertension Percentage (control),Hypertension Measure of Association,Hypertension OR/RR value,Hypertension 95% Confidence Interval,Hypertension p-value,Diabetes Mellitus (DM) Number (cancer),Diabetes Mellitus (DM) Percentage (cancer),Diabetes Mellitus (DM) Number (control),Diabetes Mellitus (DM) Percentage (control),Diabetes Mellitus (DM) Measure of Association,Diabetes Mellitus (DM) OR/RR value,Diabetes Mellitus (DM) 95% Confidence Interval,Diabetes Mellitus (DM) p-value,Cardiovascular Disease (CVD) Number (cancer),Cardiovascular Disease (CVD) Percentage (cancer),Cardiovascular Disease (CVD) Number (control),Cardiovascular Disease (CVD) Percentage (control),Cardiovascular Disease (CVD) Measure of Association,Cardiovascular Disease (CVD) OR/RR value,Cardiovascular Disease (CVD) 95% Confidence Interval,Cardiovascular Disease (CVD) p-value,Cerebrovascular Disease Number (cancer),Cerebrovascular Disease Percentage (cancer),Cerebrovascular Disease Number (control),Cerebrovascular Disease Percentage (control),Cerebrovascular Disease Measure of Association,Cerebrovascular Disease OR/RR value,Cerebrovascular Disease 95% Confidence Interval,Cerebrovascular Disease p-value,Chronic Liver Disease Number (cancer),Chronic Liver Disease Percentage (cancer),Chronic Liver Disease Number (control),Chronic Liver Disease Percentage (control),Chronic Liver Disease Measure of Association,Chronic Liver Disease OR/RR value,Chronic Liver Disease 95% Confidence Interval,Chronic Liver Disease p-value,Chronic Kidney Disease Number (cancer),Chronic Kidney Disease Percentage (cancer),Chronic Kidney Disease Number (control),Chronic Kidney Disease Percentage (control),Chronic Kidney Disease Measure of Association,Chronic Kidney Disease OR/RR value,Chronic Kidney Disease 95% Confidence Interval,Chronic Kidney Disease p-value,Chronic Lung Disease Number (cancer),Chronic Lung Disease Percentage (cancer),Chronic Lung Disease Number (control),Chronic Lung Disease Percentage (control),Chronic Lung Disease Measure of Association,Chronic Lung Disease OR/RR value,Chronic Lung Disease 95% Confidence Interval,Chronic Lung Disease p-value,Immunodeficiency/ Immunosuppression Number (cancer),Immunodeficiency/ Immunosuppression Percentage (cancer),Immunodeficiency/ Immunosuppression Number (control),Immunodeficiency/ Immunosuppression Percentage (control),Immunodeficiency/ Immunosuppression Measure of Association,Immunodeficiency/ Immunosuppression OR/RR value,Immunodeficiency/ Immunosuppression 95% Confidence Interval,Immunodeficiency/ Immunosuppression p-value,Autoimmune Disease Number (cancer),Autoimmune Disease Percentage (cancer),Autoimmune Disease Number (control),Autoimmune Disease Percentage (control),Autoimmune Disease Measure of Association,Autoimmune Disease OR/RR value,Autoimmune Disease 95% Confidence Interval,Autoimmune Disease p-value,Others: Please Specify Number (cancer),Others: Please Specify Percentage (cancer),Others: Please Specify Number (control),Others: Please Specify Percentage (control),Others: Please Specify Measure of Association,Others: Please Specify OR/RR value,Others: Please Specify 95% Confidence Interval,Others: Please Specify p-value,Notes Number (cancer),Notes Percentage (cancer),Notes Number (control),Notes Percentage (control),Notes Measure of Association,Notes OR/RR value,Notes 95% Confidence Interval,Notes p-value
1,62120,Brar 2020,117,468,585,39,33.4,129,27.7,uOR,1.31,0.22-0.85,0.22,62,53,269,57.5,uOR,0.83,0.21-0.56,0.38,38,32.5,136,29.1,uOR,1.17,0.22-0.76,0.47,,,,,,NA,,,,,,,,NA,,NA,3,,2,0.4,uOR,6.13,0.92-1.01,0.02,3,2.6,23,4.9,uOR,0.51,0.15-0.62,0.27,,,,,,NA,,NA,0,0,3,0.6,uOR,n/a,n/a,n/a,NA,NA,NA,NA,NA,NA,NA,NA,22; 13; 9; 6,18.8; 11.1; 7.7; 5.1,78; 32; 33;29,16.7; 6.8; 7.1; 6.2,uOR; uOR; uOR; uOR,1.16; 1.70; 1.10; 0.82,0.27-0.69; 0.35-0.86; 0.39-0.51; 0.33-0.46,0.58; 0.12; 0.81; 0.66,CAD; HF; COPD; Asthma,,,,NA,,,
2,62182,Sng 2020,94,226,320,7,7,13,6,uOR,1.32,0.51-3.42,0.568403,37,39,123,54,uOR,0.54,0.33-0.89,0.014103,24,26,73,32,uOR,0.72,0.42-1.23,0.230143,18,19,59,26,uOR,0.67,0.37-1.21,0.1848,12,13,37,16,uOR,0.75,0.37-1.51,0.414594,3,3,4,2,uOR,1.83,0.40-8.34,0.428448,12,13,26,12,uOR,1.13,0.54 - 2.34,0.75068,14,15,47,21,uOR,0.67,0.35-1.28,0.220784,4,4,13,6,uOR,0.73,0.23-2.29,0.58658,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,immunosuppressed = ongoing corticosteroid use; comorbidities compare control cohort to 98 patients with a history of cancer (of whom 58 had active cancer),,,,NA,,,
3,64534,Monari 2021,17,337,354,NA,NA,NA,NA,,NA,,,11,64.7,138,40.9,,NA,,0.083,,,,,,NA,,,11,64.7,71,21.1,,NA,,<0.001,,,,,,NA,,NA,,,,,,NA,,NA,,,,,,NA,,,5,29.4,47,13.9,,NA,,0.17,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,NA,,,
4,65844,Bertuzzi 2021,46,511,557,9,19.6,41,8,uOR,0.28,0.12-0.65,0.002131,21,45.7,263,51.6,uOR,0.79,0.43-1.45,0.442006,12,26.1,125,24.5,uOR,1.09,0.55-2.16,0.81208,,,,,,NA,,,,,,,,NA,,NA,,,,,,NA,,NA,,,,,,NA,,,,,,,,NA,,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,12 (dyslipidemia); 13 (Coronary Artery Disease),26.7 (dyslipidemia); 28.9 (Coronary Artery Disease),42 (dyslipidemia); 44 (Coronary Artery Disease),23.3 (dyslipidemia); 24.4 (Coronary Artery Disease),uOR;uOR,1.45  (dyslipidemia); 1.79 (Coronary Artery Disease),0.74-2.85; 0.92-3.49,0.279626; 0.081512,,,,,NA,,,
6,66861,Chavez-MacGregor 2022,14287,493020,507307,NA,NA,NA,NA,,NA,,,NA,,NA,NA,,NA,,,,,,,,NA,,,,,,,,NA,,,,,,,,NA,,NA,,,,,,NA,,NA,,,,,,NA,,,,,,,,NA,,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,1547 (Severe obesity (BMI ≥40)),10.8 (Severe obesity (BMI ≥40)),50115 (Severe obesity (BMI ≥40)),10.2 (Severe obesity (BMI ≥40)),uOR (Severe obesity (BMI ≥40)),1.07 (Severe obesity (BMI ≥40)),1.02-1.13 (Severe obesity (BMI ≥40)),,,,,,NA,,,
7,67122,Rugge 2022,324,20777,21101,NA,NA,NA,NA,,NA,,,NA,,NA,NA,,NA,,,,,,,,NA,,,,,,,,NA,,,,,,,,NA,,NA,,,,,,NA,,NA,,,,,,NA,,,,,,,,NA,,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,NA,,,
8,67144,Alpert 2021,421,5135,5556,NA,NA,NA,NA,,NA,,,223,53,1677,32.7,cOR,2.32,1.9-2.84,,139,33,1138,22.2,cOR,1.73,1.4-2.14,,177,42,1300,25.3,cOR,2.14,1.75-2.62,,,,,,,NA,,NA,26,6.2,107,2.1,cOR,3.09,1.99-4.81,NA,70,16.6,566,11,cOR,1.61,1.23-2.11,,64,15.2,427,8.3,cOR,1.98,1.49-2.63,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,43,10.2,388,7.6,cOR,1.39,1.00-1.94,,Chronic lung disease = COPD + Asthma  CVD = HF + AF + coronary artery disease   Others = Obesity,Others = Obesity,Others = Obesity,Others = Obesity,NA,Others = Obesity,Others = Obesity ,Chronic lung disease = COPD + Asthma  CVD = HF + AF + coronary artery disease   Others = Obesity  I calculated crude OR and CI and have left p-values for James as discussed 
9,67898,Plais 2022,105,315,420,NA,NA,NA,NA,,NA,,,NA,,NA,NA,,NA,,,24,22.9,107,34,,NA,,,10,9.5,29,9.2,,NA,,,,,,,,NA,,NA,1,1,8,2.5,,NA,,NA,12,11.4,32,10.2,,NA,,,8,7.6,12,3.8,,NA,,NA,26,24.8,17,5.4,,,,,NA,NA,NA,NA,NA,NA,NA,NA,3 (HIV); 1 (solid organ transplantation),2.9 (HIV); 1 (solid organ transplantation),6 (HIV); 11 (solid organ transplantation),1.9 (HIV); 3.5 (solid organ transplantation),,,,,,,,,NA,,,
10,68083,Kim 2022,10426,253179,263605,NA,NA,NA,NA,,NA,,,NA,,NA,NA,,NA,,,3648,35,42542,16.8,,NA,,,5183,49.7,49725,19.6,,NA,,,1986,19,15599,6.2,,NA,,NA,2338,22.4,18270,7.2,,NA,,NA,2675,25.7,18145,7.2,,NA,,,4402,42.2,62429,24.7,,NA,,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Peripheral Vascular Disease: 2574,Peripheral Vascular Disease: 24.7,Peripheral Vascular Disease: 14708,Peripheral Vascular Disease: 5.8,,,,,,,,,NA,,,
11,68513,Udovica 2022,89,156,245,NA,NA,NA,NA,,NA,,,NA,,NA,NA,,NA,,,14,15.7,45,28.8,cOR,0.46,0.24-0.9,,47,52.8,71,45.5,cOR,1.34,0.79-2.26,,,,,,,NA,,NA,10,11.2,10,6.4,cOR,1.85,0.74-4.63,NA,10,11.2,16,10.3,cOR,1.11,0.48-2.56,,22,24.7,24,15.4,cOR,1.81,0.94-3.46,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,17; 27; 8,19.1; 19.1; 9.0,49; 37; 35,31.4; 23.7; 22.6,cOR,0.52; 0.76; 0.34,0.28-0.97; 0.40-1.45; 0.15-0.77,,others = obesity; neurological disease; dementia,others = obesity; neurological disease; dementia,others = obesity; neurological disease; dementia,others = obesity; neurological disease; dementia,NA,others = obesity; neurological disease; dementia,others = obesity; neurological disease; dementia,I calculated crude OR and CI but have left p-values blank for James to calculate as discussed with him 
