"","Covidence #","Study ID","dateFrom","dateTo","imputation_source","imputed_variant","LAPIS_sumcount","Outbreak_count_total","WT/Wu-1 Total Number of patients","WT/Wu-1 Percentage","Beta Total Number of patients","Beta Percentage","Gamma Total Number of patients","Gamma Percentage","Delta Total Number of patients","Delta Percentage","Omicron Total Number of patients","Omicron Percentage","Unspecified/Total Total Number of patients","Unspecified/Total Percentage","Other Total Number of patients","Other Percentage","more_than_50percent_vaccinated","cancer_at_least_one_vaccine_count","cancer_at_least_one_vaccine proportion","cancer_unvaccinated_count","cancer_unvaccinated_proportion","non_cancer_at_least_one_vaccine_count","non_cancer_at_least_one_vaccine proportion","non_cancer_unvaccinated_count","non_cancer_unvaccinated_proportion","Cancer Age (measure of centre) e.g. mean/median","Cancer Age (centre)","Cancer Age (measure of spread) e.g. IQR/ range/ SD/ SE/ 95% CI/ Variance","Cancer Age (spread)","Cancer Sex (% male)","Cancer Total number","Control (non-cancer) Age (measure of centre) e.g. mean/median","Control (non-cancer) Age (centre)","Control (non-cancer) Age (measure of spread) e.g. IQR/ range/ SD/ SE/ 95% CI/ Variance","Control (non-cancer) Age (spread)","Control (non-cancer) Sex (% male)","Control (non-cancer) Total number","prefix","Total number of patients","percentage","Comment","outcome","Measure of Association","value","95% CI","p-value","cancer: Event/Total","Non-cancer: Event/Total","cancer(event/total)","cancer(event count)","cancer(total count)","non-cancer(event/total)","non-cancer(event count)","non-cancer(total count)","se","model","Smoking Percentage (cancer)","Smoking Percentage (control)","Hypertension Percentage (cancer)","Hypertension Percentage (control)","Diabetes Mellitus (DM) Percentage (cancer)","Diabetes Mellitus (DM) Percentage (control)","Cardiovascular Disease (CVD) Percentage (cancer)","Cardiovascular Disease (CVD) Percentage (control)","Cerebrovascular Disease Percentage (cancer)","Cerebrovascular Disease Percentage (control)","Chronic Liver Disease Percentage (cancer)","Chronic Liver Disease Percentage (control)","Chronic Kidney Disease Percentage (cancer)","Chronic Kidney Disease Percentage (control)","Chronic Lung Disease Percentage (cancer)","Chronic Lung Disease Percentage (control)","Immunodeficiency/ Immunosuppression Percentage (cancer)","Immunodeficiency/ Immunosuppression Percentage (control)","Autoimmune Disease Percentage (cancer)","Autoimmune Disease Percentage (control)","Others: Please Specify Percentage (cancer)","Others: Please Specify Percentage (control)","Notes Percentage (cancer)","Notes Percentage (control)"
"1","70019","Klein 2021","2020-03-13","2020-05-10","LAPIS, Outbreak","Early-clades",21660,20441,"","",NA,NA,NA,NA,NA,NA,"","",77,"100%","",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,"Median","69.0","range","30-98","56.2","77","Median","68.5","range","30-96","56.2","324","Unknown","77 (100%)",NA,NA,"[ICU]","mOR","0.39","0.17-0.89","0.03",NA,NA,NA,NA,NA,NA,NA,NA,NA,"multivariate","","","","","","40.7","","34.3","","","","3.7","","25.6","","18.2","","8.6",NA,NA,"","14.8","",""
"2","70019","Klein 2021","2020-03-13","2020-05-10","LAPIS, Outbreak","Early-clades",21660,20441,"","",NA,NA,NA,NA,NA,NA,"","",77,"100%","",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,"Median","69.0","range","30-98","56.2","77","Median","68.5","range","30-96","56.2","324","Unknown","77 (100%)",NA,NA,"[mortality]","uOR","1.98","0.99-3.96","0.053",NA,NA,NA,NA,NA,NA,NA,NA,NA,"univariate","","","","","","40.7","","34.3","","","","3.7","","25.6","","18.2","","8.6",NA,NA,"","14.8","",""
"3","70019","Klein 2021","2020-03-13","2020-05-10","LAPIS, Outbreak","Early-clades",21660,20441,"","",NA,NA,NA,NA,NA,NA,"","",77,"100%","",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,"Median","69.0","range","30-98","56.2","77","Median","68.5","range","30-96","56.2","324","Unknown","77 (100%)",NA,NA,"[mortality]","mOR","2.18","0.82-5.77","0.12",NA,NA,NA,NA,NA,NA,NA,NA,NA,"multivariate","","","","","","40.7","","34.3","","","","3.7","","25.6","","18.2","","8.6",NA,NA,"","14.8","",""
"4","70019","Klein 2021","2020-03-13","2020-05-10","LAPIS, Outbreak","Early-clades",21660,20441,"","",NA,NA,NA,NA,NA,NA,"","",77,"100%","",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,"Median","69.0","range","30-98","56.2","77","Median","68.5","range","30-96","56.2","324","Unknown","77 (100%)",NA,NA,"[ICU]","uOR","0.53","0.29-0.96","0.03",NA,NA,NA,NA,NA,NA,NA,NA,NA,"univariate","","","","","","40.7","","34.3","","","","3.7","","25.6","","18.2","","8.6",NA,NA,"","14.8","",""
"5","70019","Klein 2021","2020-03-13","2020-05-10","LAPIS, Outbreak","Early-clades",21660,20441,"","",NA,NA,NA,NA,NA,NA,"","",77,"100%","",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,"Median","69.0","range","30-98","56.2","77","Median","68.5","range","30-96","56.2","324","Unknown","77 (100%)",NA,NA,"[severe]","uOR","0.65","0.34-1.16","0.14",NA,NA,NA,NA,NA,NA,NA,NA,NA,"univariate","","","","","","40.7","","34.3","","","","3.7","","25.6","","18.2","","8.6",NA,NA,"","14.8","",""
"6","70019","Klein 2021","2020-03-13","2020-05-10","LAPIS, Outbreak","Early-clades",21660,20441,"","",NA,NA,NA,NA,NA,NA,"","",77,"100%","",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,"Median","69.0","range","30-98","56.2","77","Median","68.5","range","30-96","56.2","324","Unknown","77 (100%)",NA,NA,"[severe]","aOR","0.54","0.23-1.24","0.15",NA,NA,NA,NA,NA,NA,NA,NA,NA,"multivariate","","","","","","40.7","","34.3","","","","3.7","","25.6","","18.2","","8.6",NA,NA,"","14.8","",""
"7","70019","Klein 2021","2020-03-13","2020-05-10","LAPIS, Outbreak","Early-clades",21660,20441,"","",NA,NA,NA,NA,NA,NA,"","",77,"100%","",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,"Median","69.0","range","30-98","56.2","77","Median","68.5","range","30-96","56.2","324","Total (OF ALL CANCERS)","77",NA,"Primary outcome is defined as ""mortality OR admission to hospice"". Severity defined as ARDSTable 4 and 5","[mortality]","mOR","2.18","0.82-5.77","0.12",NA,NA,NA,NA,NA,NA,NA,NA,NA,"multivariate","","","","","","40.7","","34.3","","","","3.7","","25.6","","18.2","","8.6",NA,NA,"","14.8","",""
"8","70019","Klein 2021","2020-03-13","2020-05-10","LAPIS, Outbreak","Early-clades",21660,20441,"","",NA,NA,NA,NA,NA,NA,"","",77,"100%","",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,"Median","69.0","range","30-98","56.2","77","Median","68.5","range","30-96","56.2","324","Total (OF ALL CANCERS)","77",NA,"Primary outcome is defined as ""mortality OR admission to hospice"". Severity defined as ARDSTable 4 and 5","[ICU]","uOR","0.53","0.29-0.96","0.03",NA,NA,NA,NA,NA,NA,NA,NA,NA,"univariate","","","","","","40.7","","34.3","","","","3.7","","25.6","","18.2","","8.6",NA,NA,"","14.8","",""
"9","70019","Klein 2021","2020-03-13","2020-05-10","LAPIS, Outbreak","Early-clades",21660,20441,"","",NA,NA,NA,NA,NA,NA,"","",77,"100%","",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,"Median","69.0","range","30-98","56.2","77","Median","68.5","range","30-96","56.2","324","Total (OF ALL CANCERS)","77",NA,"Primary outcome is defined as ""mortality OR admission to hospice"". Severity defined as ARDSTable 4 and 5","[ICU]","mOR","0.39","0.17-0.89","0.03",NA,NA,NA,NA,NA,NA,NA,NA,NA,"multivariate","","","","","","40.7","","34.3","","","","3.7","","25.6","","18.2","","8.6",NA,NA,"","14.8","",""
"10","70019","Klein 2021","2020-03-13","2020-05-10","LAPIS, Outbreak","Early-clades",21660,20441,"","",NA,NA,NA,NA,NA,NA,"","",77,"100%","",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,"Median","69.0","range","30-98","56.2","77","Median","68.5","range","30-96","56.2","324","Total (OF ALL CANCERS)","77",NA,"Primary outcome is defined as ""mortality OR admission to hospice"". Severity defined as ARDSTable 4 and 5","[mortality]","uOR","1.98","0.99-3.96","0.053",NA,NA,NA,NA,NA,NA,NA,NA,NA,"univariate","","","","","","40.7","","34.3","","","","3.7","","25.6","","18.2","","8.6",NA,NA,"","14.8","",""
