"","Covidence #","Study ID","dateFrom","dateTo","imputation_source","imputed_variant","LAPIS_sumcount","Outbreak_count_total","WT/Wu-1 Total Number of patients","WT/Wu-1 Percentage","Beta Total Number of patients","Beta Percentage","Gamma Total Number of patients","Gamma Percentage","Delta Total Number of patients","Delta Percentage","Omicron Total Number of patients","Omicron Percentage","Unspecified/Total Total Number of patients","Unspecified/Total Percentage","Other Total Number of patients","Other Percentage","more_than_50percent_vaccinated","cancer_at_least_one_vaccine_count","cancer_at_least_one_vaccine proportion","cancer_unvaccinated_count","cancer_unvaccinated_proportion","non_cancer_at_least_one_vaccine_count","non_cancer_at_least_one_vaccine proportion","non_cancer_unvaccinated_count","non_cancer_unvaccinated_proportion","Cancer Age (measure of centre) e.g. mean/median","Cancer Age (centre)","Cancer Age (measure of spread) e.g. IQR/ range/ SD/ SE/ 95% CI/ Variance","Cancer Age (spread)","Cancer Sex (% male)","Cancer Total number","Control (non-cancer) Age (measure of centre) e.g. mean/median","Control (non-cancer) Age (centre)","Control (non-cancer) Age (measure of spread) e.g. IQR/ range/ SD/ SE/ 95% CI/ Variance","Control (non-cancer) Age (spread)","Control (non-cancer) Sex (% male)","Control (non-cancer) Total number","prefix","Total number of patients","percentage","Comment","outcome","Measure of Association","value","95% CI","p-value","cancer: Event/Total","Non-cancer: Event/Total","cancer(event/total)","cancer(event count)","cancer(total count)","non-cancer(event/total)","non-cancer(event count)","non-cancer(total count)","se","model","Smoking Percentage (cancer)","Smoking Percentage (control)","Hypertension Percentage (cancer)","Hypertension Percentage (control)","Diabetes Mellitus (DM) Percentage (cancer)","Diabetes Mellitus (DM) Percentage (control)","Cardiovascular Disease (CVD) Percentage (cancer)","Cardiovascular Disease (CVD) Percentage (control)","Cerebrovascular Disease Percentage (cancer)","Cerebrovascular Disease Percentage (control)","Chronic Liver Disease Percentage (cancer)","Chronic Liver Disease Percentage (control)","Chronic Kidney Disease Percentage (cancer)","Chronic Kidney Disease Percentage (control)","Chronic Lung Disease Percentage (cancer)","Chronic Lung Disease Percentage (control)","Immunodeficiency/ Immunosuppression Percentage (cancer)","Immunodeficiency/ Immunosuppression Percentage (control)","Autoimmune Disease Percentage (cancer)","Autoimmune Disease Percentage (control)","Others: Please Specify Percentage (cancer)","Others: Please Specify Percentage (control)","Notes Percentage (cancer)","Notes Percentage (control)"
"1","138896","Li 2024","2022-11-01","2023-02-11","LAPIS, Outbreak","Omicron_BA",2810,7440,"","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Median","69","IQR","59-77","74.0%","77","Median","76","IQR","68-84","72.5%","1788","Total (OF ALL CANCERS)","77",NA,NA,"[ICU]","mOR","1.43","0.90-2.30","0.133","31/77","630/1788",0.402597402597403,31,77,0.352348993288591,630,1788,0.217696263649091,"multivariate","24.7%","26.5%","40.3%","55.9%","22.1%","29.9%","","","","","2.6%","1.0%","6.5%","6.3%","13.0%","12.4%","","",NA,NA,"22.1%","28.0%","",""
"2","138896","Li 2024","2022-11-01","2023-02-11","LAPIS, Outbreak","Omicron_BA",2810,7440,"","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Median","69","IQR","59-77","74.0%","77","Median","76","IQR","68-84","72.5%","1788","Total (OF ALL CANCERS)","77",NA,NA,"[mortality]","mOR","2.02","1.18-3.46","0.010","59/77","1106/1788",0.766233766233766,59,77,0.618568232662192,1106,1788,0.177199347565741,"multivariate","24.7%","26.5%","40.3%","55.9%","22.1%","29.9%","","","","","2.6%","1.0%","6.5%","6.3%","13.0%","12.4%","","",NA,NA,"22.1%","28.0%","",""
"3","140255","Park 2024","2020-01-01","2022-03-31","LAPIS, Outbreak","Early-clades, Delta",73,16619,"","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","42.2","397,050","","","","","44.6","397,050","Haematological",NA,NA,NA,"[hospitalisation]","mOR","1.72","1.36-1.81",NA,"? [Not stated]/11723",NA,NA,NA,11723,NA,NA,NA,NA,"multivariate","","","","","","","","","","","","","","","","","","",NA,NA,"","","",""
"4","140255","Park 2024","2020-01-01","2022-03-31","LAPIS, Outbreak","Early-clades, Delta",73,16619,"","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","42.2","397,050","","","","","44.6","397,050","Haematological",NA,NA,NA,"[mortality]","mOR","3.85","3.35-4.42",NA,"? [Not stated]/11723",NA,NA,NA,11723,NA,NA,NA,NA,"multivariate","","","","","","","","","","","","","","","","","","",NA,NA,"","","",""
"5","140255","Park 2024","2020-01-01","2022-03-31","LAPIS, Outbreak","Early-clades, Delta",73,16619,"","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","42.2","397,050","","","","","44.6","397,050","Haematological",NA,NA,NA,"[severe disease]","mOR","3.18","2.78-3.64",NA,"? [Not stated]/11723",NA,NA,NA,11723,NA,NA,NA,NA,"multivariate","","","","","","","","","","","","","","","","","","",NA,NA,"","","",""
"6","140255","Park 2024","2020-01-01","2022-03-31","LAPIS, Outbreak","Early-clades, Delta",73,16619,"","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","42.2","397,050","","","","","44.6","397,050","SOLID AGGREGATED [add all solid values]",NA,NA,"NA","[hospitalisation]","mOR","1.08","1.07-1.10",NA,"? [Not stated]/385680",NA,NA,NA,385680,NA,NA,NA,NA,"multivariate","","","","","","","","","","","","","","","","","","",NA,NA,"","","",""
"7","140255","Park 2024","2020-01-01","2022-03-31","LAPIS, Outbreak","Early-clades, Delta",73,16619,"","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","42.2","397,050","","","","","44.6","397,050","SOLID AGGREGATED [add all solid values]",NA,NA,"NA","[mortality]","mOR","1.85","1.76-1.95",NA,"? [Not stated]/385680",NA,NA,NA,385680,NA,NA,NA,NA,"multivariate","","","","","","","","","","","","","","","","","","",NA,NA,"","","",""
"8","140255","Park 2024","2020-01-01","2022-03-31","LAPIS, Outbreak","Early-clades, Delta",73,16619,"","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","42.2","397,050","","","","","44.6","397,050","SOLID AGGREGATED [add all solid values]",NA,NA,"NA","[severe disease]","mOR","1.11","1.06-1.18",NA,"? [Not stated]/385680",NA,NA,NA,385680,NA,NA,NA,NA,"multivariate","","","","","","","","","","","","","","","","","","",NA,NA,"","","",""
"9","140255","Park 2024","2020-01-01","2022-03-31","LAPIS, Outbreak","Early-clades, Delta",73,16619,"","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","42.2","397,050","","","","","44.6","397,050","Total (OF ALL CANCERS)",NA,NA,"OR for cancer diagnosis < 1 yearOR for cancer diagnosis < 1 year","[hospitalisation]","mOR","1.82","1.77-1.87",NA,"44074/397050","40428/397050",0.111003651933006,44074,397050,0.101820929353986,40428,397050,0.00724303766972477,"multivariate","","","","","","","","","","","","","","","","","","",NA,NA,"","","",""
"10","140255","Park 2024","2020-01-01","2022-03-31","LAPIS, Outbreak","Early-clades, Delta",73,16619,"","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","42.2","397,050","","","","","44.6","397,050","Total (OF ALL CANCERS)",NA,NA,"OR for cancer diagnosis < 1 yearOR for cancer diagnosis < 1 year","[mortality]","mOR","4.95","4.60-5.34",NA,"4015/397050","2110/397050",0.0101120765646644,4015,397050,0.00531419216723335,2110,397050,0.0269821570811794,"multivariate","","","","","","","","","","","","","","","","","","",NA,NA,"","","",""
