"","Covidence #","Study ID","dateFrom","dateTo","imputation_source","imputed_variant","LAPIS_sumcount","Outbreak_count_total","WT/Wu-1 Total Number of patients","WT/Wu-1 Percentage","Beta Total Number of patients","Beta Percentage","Gamma Total Number of patients","Gamma Percentage","Delta Total Number of patients","Delta Percentage","Omicron Total Number of patients","Omicron Percentage","Unspecified/Total Total Number of patients","Unspecified/Total Percentage","Other Total Number of patients","Other Percentage","vaccinated Total number of patients","vaccinated Percentage","vaccinated Comment","unvaccinated Total number of patients","unvaccinated Percentage","unvaccinated Comment","Cancer Age (measure of centre) e.g. mean/median","Cancer Age (centre)","Cancer Sex (% male)","prefix","Total number of patients","percentage","Comment","outcome","Measure of Association","value","95% CI","p-value","cancer: Event/Total","Non-cancer: Event/Total","cancer(event/total)","cancer(event count)","cancer(total count)","non-cancer(event/total)","non-cancer(event count)","non-cancer(total count)","se","model"
"1","122739","Adrian 2021","2020-02-01","2020-12-31","LAPIS, Outbreak","Early-clades",23,1241,"","",NA,NA,NA,NA,NA,"","","","10881","100","","",NA,NA,"",NA,"","NA","","","48.90%","Total (OF ALL CANCERS)","244",NA,NA,"[ICU]","uOR","2.54","1.93-3.34","5.73E-12","0.320 (78/244)","0.156 (1662/10637)",0.32,78,244,0.156,1662,10637,0.132719891737667,"univariate"
"2","122739","Adrian 2021","2020-02-01","2020-12-31","LAPIS, Outbreak","Early-clades",23,1241,"","",NA,NA,NA,NA,NA,"","","","10881","100","","",NA,NA,"",NA,"","NA","","","48.90%","Total (OF ALL CANCERS)","244",NA,NA,"[ICU]","uHR","2.25","1.79-2.83","nr","0.320 (78/244)","0.156 (1662/10637)",0.32,78,244,0.156,1662,10637,0.132719891737667,"univariate"
"3","122739","Adrian 2021","2020-02-01","2020-12-31","LAPIS, Outbreak","Early-clades",23,1241,"","",NA,NA,NA,NA,NA,"","","","10881","100","","",NA,NA,"",NA,"","NA","","","48.90%","Total (OF ALL CANCERS)","244",NA,NA,"[ICU]","mHR","1.57","1.24-1.97","nr","0.320 (78/244)","0.156 (1662/10637)",0.32,78,244,0.156,1662,10637,0.132719891737667,"multivariate"
"4","122739","Adrian 2021","2020-02-01","2020-12-31","LAPIS, Outbreak","Early-clades",23,1241,"","",NA,NA,NA,NA,NA,"","","","10881","100","","",NA,NA,"",NA,"","NA","","","48.90%","Total (OF ALL CANCERS)","244",NA,NA,"[mortality]","uOR","2.71","2.06-3.56","8.87E-14","0.328 (80/244)","0.152 (1622/10637)",0.328,80,244,0.152,1622,10637,0.131563273509293,"univariate"
"5","122739","Adrian 2021","2020-02-01","2020-12-31","LAPIS, Outbreak","Early-clades",23,1241,"","",NA,NA,NA,NA,NA,"","","","10881","100","","",NA,NA,"",NA,"","NA","","","48.90%","Total (OF ALL CANCERS)","244",NA,NA,"[mortality]","uHR","2.07","1.65-2.59","nr","0.328 (80/244)","0.152 (1622/10637)",0.328,80,244,0.152,1622,10637,0.131563273509293,"univariate"
"6","122739","Adrian 2021","2020-02-01","2020-12-31","LAPIS, Outbreak","Early-clades",23,1241,"","",NA,NA,NA,NA,NA,"","","","10881","100","","",NA,NA,"",NA,"","NA","","","48.90%","Total (OF ALL CANCERS)","244",NA,NA,"[mortality]","mHR","1.72","1.37-2.16","nr","0.328 (80/244)","0.152 (1622/10637)",0.328,80,244,0.152,1622,10637,0.131563273509293,"multivariate"
"7","122739","Adrian 2021","2020-02-01","2020-12-31","LAPIS, Outbreak","Early-clades",23,1241,"","",NA,NA,NA,NA,NA,"","","","10881","100","","",NA,NA,"",NA,"","NA","","","48.90%","Total (OF ALL CANCERS)","244",NA,NA,"[severe disease]","uOR","1.79","1.39-2.31","5.55E-06","0.521 (125/244)","0.374 (3936/10637)",0.521,125,244,0.374,3936,10637,0.111563601437868,"univariate"
"8","122739","Adrian 2021","2020-02-01","2020-12-31","LAPIS, Outbreak","Early-clades",23,1241,"","",NA,NA,NA,NA,NA,"","","","10881","100","","",NA,NA,"",NA,"","NA","","","48.90%","Total (OF ALL CANCERS)","244",NA,NA,"[severe disease]","aOR","1.75","1.32-2.33","nr","0.521 (125/244)","0.374 (3936/10637)",0.521,125,244,0.374,3936,10637,0.111563601437868,"multivariate"
"9","124497","Brijesh 2023","2020-01-01","2022-08-21","LAPIS, Outbreak","Delta, Omicron_BA",1197953,1518340,"737","52.1% of all cancer covid patients ",NA,NA,NA,NA,262,"18.5% of all cancer covid patients","68","4.81% of all cancer covid patients","1391","100%","324 Alpha","22.9% of all cancer covid patients",NA,NA,"",NA,"","NA","% of those >65 = 63.3%","","50.7","Total (OF ALL CANCERS)","1391",NA,"CardioOnc+WRTCardioOnc-_CalculatedRatio: Cardio onc + / CVD+","[mortality]","cOR","1.8620","1.6599-2.0887","P < 0.0001","0.324 (450/1391)","0.204 (8310/40666)",0.324,450,1391,0.204,8310,40666,0.0555522906250109,"univariate"
"10","124497","Brijesh 2023","2020-01-01","2022-08-21","LAPIS, Outbreak","Delta, Omicron_BA",1197953,1518340,"737","52.1% of all cancer covid patients ",NA,NA,NA,NA,262,"18.5% of all cancer covid patients","68","4.81% of all cancer covid patients","1391","100%","324 Alpha","22.9% of all cancer covid patients",NA,NA,"",NA,"","NA","% of those >65 = 63.3%","","50.7","Total (OF ALL CANCERS)","1391",NA,"CardioOnc+WRTCardioOnc-_CalculatedRatio: Cardio onc + / CVD+","[severe disease]","cOR","1.3037","1.1715-1.4508","P < 0.0001","0.498 (693/1391)","0.432 (17581/40666)",0.498,693,1391,0.432,17581,40666,0.047364320505417,"univariate"
"11","124497","Brijesh 2023","2020-01-01","2022-08-21","LAPIS, Outbreak","Delta, Omicron_BA",1197953,1518340,"737","52.1% of all cancer covid patients ",NA,NA,NA,NA,262,"18.5% of all cancer covid patients","68","4.81% of all cancer covid patients","1391","100%","324 Alpha","22.9% of all cancer covid patients",NA,NA,"",NA,"","NA","% of those >65 = 63.3%","","50.7","Unknown","1391",NA,"NA","[mortality]","cOR","1.862","1.6599-2.0887","P < 0.0001","0.324 (450/1391)","0.204 (8310/40666)",0.324,450,1391,0.204,8310,40666,0.0555522906250109,"univariate"
"12","124497","Brijesh 2023","2020-01-01","2022-08-21","LAPIS, Outbreak","Delta, Omicron_BA",1197953,1518340,"737","52.1% of all cancer covid patients ",NA,NA,NA,NA,262,"18.5% of all cancer covid patients","68","4.81% of all cancer covid patients","1391","100%","324 Alpha","22.9% of all cancer covid patients",NA,NA,"",NA,"","NA","% of those >65 = 63.3%","","50.7","Unknown","1391",NA,"NA","[severe]","cOR","1.3037","1.1715-1.4508","P < 0.0001","0.498 (693/1391)","0.432 (17581/40666)",0.498,693,1391,0.432,17581,40666,0.047364320505417,"univariate"
"13","128789","Joaquin 2020","2020-03-01","2020-05-30","LAPIS, Outbreak","Early-clades",270,5108,"","",NA,NA,NA,NA,NA,"","","","","","","",NA,NA,"",NA,"","NA","median","71","57","Haematological","43 (Multiple Myeloma)",NA,"I calculated crude OR, CI and p-value for mortality and active MM (n=43) vs. non-cancer (n=167). Raw mortality data taken from table 1 and 2","[mortality]","cOR (Multiple Myeloma)","3.24 (Multiple Myeloma)","1.61 - 6.52 (Multiple Myeloma)","0.00103 (Multiple Myeloma)","0.488 (21/43) (Multiple Myeloma)","0.228 (38/167) (Multiple Myeloma)",0.488,21,43,0.228,38,167,0.32121437545402,"univariate"
"14","131660","Muge 2021","2020-09-01","2021-01-30","LAPIS, Outbreak","Early-clades, Alpha",1,352,"","",NA,NA,NA,NA,NA,"","","","","","","",NA,NA,"",NA,"","NA","Mean","64.69","62.7","Total (OF ALL CANCERS)","75",NA,"No p-value stated; simply reported ""not significant"" for disease status between cancer and non-cancer groups","[severe disease]","cRR for moderate disease","Moderate: 41.3/51.4=0.804",NA,"Not significant","41.3%","51.4%",41.3,NA,NA,51.4,NA,NA,NA,"univariate"
"15","131660","Muge 2021","2020-09-01","2021-01-30","LAPIS, Outbreak","Early-clades, Alpha",1,352,"","",NA,NA,NA,NA,NA,"","","","","","","",NA,NA,"",NA,"","NA","Mean","64.69","62.7","Total (OF ALL CANCERS)","75",NA,"No p-value stated; simply reported ""not significant"" for disease status between cancer and non-cancer groups","[severe disease]","cRR for severe disease","Severe: 58.7/48.6=1.21",NA,"not significant","58.7%","48.6%",58.7,NA,NA,48.6,NA,NA,NA,"univariate"
"16","131660","Muge 2021","2020-09-01","2021-01-30","LAPIS, Outbreak","Early-clades, Alpha",1,352,"","",NA,NA,NA,NA,NA,"","","","","","","",NA,NA,"",NA,"","NA","Mean","64.69","62.7","Total (OF ALL CANCERS)","75",NA,"No p-value stated; simply reported ""not significant"" for disease status between cancer and non-cancer groups","[ICU]","cRR","0",NA,NA,"0/75=0.00%","0/111=0.00%",0,0,75,0,0,111,Inf,"univariate"
"17","131660","Muge 2021","2020-09-01","2021-01-30","LAPIS, Outbreak","Early-clades, Alpha",1,352,"","",NA,NA,NA,NA,NA,"","","","","","","",NA,NA,"",NA,"","NA","Mean","64.69","62.7","Total (OF ALL CANCERS)","75",NA,"No p-value stated; simply reported ""not significant"" for disease status between cancer and non-cancer groups","[mortality]","uOR","2.39","1.80−3.16",NA,"17.30%","2.70%",17.3,NA,NA,2.7,NA,NA,NA,"univariate"
"18","137597","Yiğenoğlu 2020","2020-03-11","2020-07-22","LAPIS, Outbreak","Early-clades",70,395,"","",NA,NA,NA,NA,NA,"","","","1480","100","","",NA,NA,"",NA,"","NA","median","56","53.6","Haematological","740",NA,"uOR","[hospitalisation]","calculatedOR","1.10488245931284",NA,NA,"0.611 (452/740)","0.553 (409/740)",0.611,452,740,0.553,409,740,0.0857909077833706,"univariate"
"19","137597","Yiğenoğlu 2020","2020-03-11","2020-07-22","LAPIS, Outbreak","Early-clades",70,395,"","",NA,NA,NA,NA,NA,"","","","1480","100","","",NA,NA,"",NA,"","NA","median","56","53.6","Haematological","740",NA,"uOR","[severe disease]","uOR","1.66","1.30-2.11","3.67E-05","0.288 (213/740)","0.196 (145/740)",0.288,213,740,0.196,145,740,0.11955789437587,"univariate"
"20","137597","Yiğenoğlu 2020","2020-03-11","2020-07-22","LAPIS, Outbreak","Early-clades",70,395,"","",NA,NA,NA,NA,NA,"","","","1480","100","","",NA,NA,"",NA,"","NA","median","56","53.6","Total (OF ALL CANCERS)","740",NA,"uOR","[hospitalisation]","calculatedOR","1.10488245931284",NA,NA,"0.611 (452/740)","0.553 (409/740)",0.611,452,740,0.553,409,740,0.0857909077833706,"univariate"
