"Covidence #","prefix","Total number of Patients","Comment.1","outcome","Measure of Association","value","95% CI","p-value","cancer: Event/Total","Non-cancer: Event/Total","Measure of Association_number_of_semicolons","value_number_of_semicolons","95% CI_number_of_semicolons","p-value_number_of_semicolons","cancer: Event/Total_number_of_semicolons","Non-cancer: Event/Total_number_of_semicolons","same_number_of_semicolons"
62182,"M0/Stage I-III: No metastasis","58","NANA","[mortality]",NA,NA,NA,NA,"0.448 (26/58)","0.341 (77/226)",NA,NA,NA,NA,0,0,NA
62182,"M1/Stage IV: metastatic disease","19","NANA","[mortality]","uHR","1.13","0.54-2.37","0.75","0.474 (9/19)","0.341 (77/226)",0,0,0,0,0,0,TRUE
68083,"M1/Stage IV: metastatic disease","1580","NANA","[hospitalisation]","mRR","1.26   ","1.16–1.37","<0.001 ","0.24 (2476/10426)","0.099 (25092/253179)",0,0,0,0,0,0,TRUE
68083,"M1/Stage IV: metastatic disease","1580","NANA","[ICU]","mRR","1.33","1.13–1.56","0.001","NR","0.025 (6449/253179)",0,0,0,0,0,0,TRUE
68083,"M1/Stage IV: metastatic disease","1580","NANA","[mortality]","mRR","2.09","1.82–2.39","<0.001","NR","0.019 (4854/253179)",0,0,0,0,0,0,TRUE
68083,"M1/Stage IV: metastatic disease","1580","NANA","[severe]","mRR","1.32","1.04-1.68","0.021","NR","0.011 (2855/253179)",0,0,0,0,0,0,TRUE
70019,"Unknown","77 (100%)",NA,"[ICU]","uOR;mOR","0.53; 0.39","0.29-0.96; 0.17-0.89","0.03; 0.03",NA,NA,1,1,1,1,NA,NA,NA
70019,"Unknown","77 (100%)",NA,"[mortality]","uOR;mOR","1.98; 2.18","0.99-3.96; 0.82-5.77","0.053; 0.12",NA,NA,1,1,1,1,NA,NA,NA
70019,"Unknown","77 (100%)",NA,"[severe]","uOR;aOR","0.65;0.54","0.34-1.16;0.23-1.24","0.14;0.15",NA,NA,1,1,1,1,NA,NA,NA
71402,"Unknown","6143","Most recent diagnosis within past 3 years","[hospitalisation]","mOR","1.43","1.29-1.58",NA,"NR (NR/6143)","NR (NR/38267)",0,0,0,NA,0,0,TRUE
71402,"Unknown","6143","Most recent diagnosis within past 3 years","[ICU]","mOR","1.19","0.97-1.46",NA,"NR (NR/6143)","NR (NR/38267)",0,0,0,NA,0,0,TRUE
71402,"Unknown","6143","Most recent diagnosis within past 3 years","[mortality]","mOR","1.68","1.39-2.04",NA,"NR (NR/6143)","NR (NR/38267) ",0,0,0,NA,0,0,TRUE
71402,"Unknown","6143","Most recent diagnosis within past 3 years","[severe]","mOR","1.48","1.35-1.63",NA,"NR (NR/6143)","NR (NR/38267)",0,0,0,NA,0,0,TRUE
71512,"M0/Stage I-III: No metastasis","4337","NANA","[mortality]","uOR; mOR","1.82; 1.48","1.66-1.99; 1.35-1.62","<0.001; <0.001","nr; nr","0.92 (8384/90700); 0.92 (8384/90700)",1,1,1,1,1,1,TRUE
71512,"M1/Stage IV: metastatic disease","2012","NANA","[mortality]","uOR; mOR","2.28; 1.94","2.01-2.58; 1.71-2.21","<0.001; <0.001","nr; nr","0.92 (8384/90700); 0.92 (8384/90700)",1,1,1,1,1,1,TRUE
71628,"Unknown","5116","Noninvasive;invasive","[ICU]","mOR","0.77","0.70-0.85","<0.001","0.873 (4437/5116)","0.155 (20710/134598)",0,0,0,0,0,0,TRUE
71628,"Unknown","5116","Noninvasive;invasive","[mortality]","mOR","2.00","1.87-2.15","<0.01","0.365 (1818/5116)","0.219 (28608/134598)",0,0,0,0,0,0,TRUE
