"Covidence #","prefix","Total Number of Patients","Comment.1","outcome","Measure of Association","value","95% CI","p-value","cancer: Event/Total","Non-cancer: Event/Total","Measure of Association_number_of_semicolons","value_number_of_semicolons","95% CI_number_of_semicolons","p-value_number_of_semicolons","cancer: Event/Total_number_of_semicolons","Non-cancer: Event/Total_number_of_semicolons","same_number_of_semicolons","cancer(event/total)","cancer(event count)","cancer(total count)","non-cancer(event/total)","non-cancer(event count)","non-cancer(total count)"
138896,"Total (OF ALL CANCERS)","77",NA,"[ICU]","mOR","1.43","0.90-2.30","0.133","31/77","630/1788",0,0,0,0,0,0,TRUE,NA,31,77,NA,630,1788
138896,"Total (OF ALL CANCERS)","77",NA,"[mortality]","mOR","2.02","1.18-3.46","0.010","59/77","1106/1788",0,0,0,0,0,0,TRUE,NA,59,77,NA,1106,1788
140255,"Haematological",NA,NA,"[hospitalisation]","mOR","1.72","1.36-1.81",NA,"? [Not stated]/11723",NA,0,0,0,NA,0,NA,TRUE,NA,NA,11723,NA,NA,NA
140255,"Haematological",NA,NA,"[mortality]","mOR","3.85","3.35-4.42",NA,"? [Not stated]/11723",NA,0,0,0,NA,0,NA,TRUE,NA,NA,11723,NA,NA,NA
140255,"Haematological",NA,NA,"[severe disease]","mOR","3.18","2.78-3.64",NA,"? [Not stated]/11723",NA,0,0,0,NA,0,NA,TRUE,NA,NA,11723,NA,NA,NA
140255,"SOLID AGGREGATED [add all solid values]",NA,"NA","[hospitalisation]","mOR","1.08","1.07-1.10",NA,"? [Not stated]/385680",NA,0,0,0,NA,0,NA,TRUE,NA,NA,385680,NA,NA,NA
140255,"SOLID AGGREGATED [add all solid values]",NA,"NA","[mortality]","mOR","1.85","1.76-1.95",NA,"? [Not stated]/385680",NA,0,0,0,NA,0,NA,TRUE,NA,NA,385680,NA,NA,NA
140255,"SOLID AGGREGATED [add all solid values]",NA,"NA","[severe disease]","mOR","1.11","1.06-1.18",NA,"? [Not stated]/385680",NA,0,0,0,NA,0,NA,TRUE,NA,NA,385680,NA,NA,NA
140255,"Total (OF ALL CANCERS)",NA,"OR for cancer diagnosis < 1 yearOR for cancer diagnosis < 1 year","[hospitalisation]","mOR","1.82","1.77-1.87",NA,"44074/397050","40428/397050",0,0,0,NA,0,0,TRUE,NA,44074,397050,NA,40428,397050
140255,"Total (OF ALL CANCERS)",NA,"OR for cancer diagnosis < 1 yearOR for cancer diagnosis < 1 year","[mortality]","mOR","4.95","4.60-5.34",NA,"4015/397050","2110/397050",0,0,0,NA,0,0,TRUE,NA,4015,397050,NA,2110,397050
140255,"Total (OF ALL CANCERS)",NA,"OR for cancer diagnosis < 1 yearOR for cancer diagnosis < 1 year","[severe disease]","mOR","2.29","2.09-2.50",NA,"1543/397050","1562/397050",0,0,0,NA,0,0,TRUE,NA,1543,397050,NA,1562,397050
141132,"Breast","2200","Severe disease: Mechanical ventilation","[hospitalisation]","mOR","0.98","0.88-1.10","0.74",NA,NA,0,0,0,0,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
141132,"Breast","2200","Severe disease: Mechanical ventilation","[ICU]","mOR","1.07","0.84-1.37","0.57",NA,NA,0,0,0,0,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
141132,"Breast","2200","Severe disease: Mechanical ventilation","[mortality]","mOR","0.8","0.57-1.13","0.21",NA,NA,0,0,0,0,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
141132,"Breast","2200","Severe disease: Mechanical ventilation","[severe disease]","mOR","0.88","0.63-1.22","0.43",NA,NA,0,0,0,0,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
141132,"Total (OF ALL CANCERS)","2200","Severe disease: Mechanical ventilation","[hospitalisation]","mOR","0.98","0.88-1.10","0.74",NA,NA,0,0,0,0,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
141132,"Total (OF ALL CANCERS)","2200","Severe disease: Mechanical ventilation","[ICU]","mOR","1.07","0.84-1.37","0.57",NA,NA,0,0,0,0,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
141132,"Total (OF ALL CANCERS)","2200","Severe disease: Mechanical ventilation","[mortality]","mOR","0.8","0.57-1.13","0.21",NA,NA,0,0,0,0,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
141132,"Total (OF ALL CANCERS)","2200","Severe disease: Mechanical ventilation","[severe disease]","mOR","0.88","0.63-1.22","0.43",NA,NA,0,0,0,0,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
141173,"Total (OF ALL CANCERS)","15416","Intubation","[hospitalisation]","aOR","3.01","2.101-2.435","<0.0001",NA,NA,0,0,0,0,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
141173,"Total (OF ALL CANCERS)","15416","Intubation","[ICU]","aOR","1.00","0.411-2.435","1.00",NA,NA,0,0,0,0,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
141173,"Total (OF ALL CANCERS)","15416","Intubation","[mortality]","aOR","1.00","0.411-2.435","1",NA,NA,0,0,0,0,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
141173,"Total (OF ALL CANCERS)","15416","Intubation","[severe disease]","aOR","1.00","0.411-2.435","1.00",NA,NA,0,0,0,0,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
62120,"Total (OF ALL CANCERS)","117",NA,"[mortality]","uHR","0.74","0.53-1.03",">.05","29/117","100/468",1,1,1,1,1,1,TRUE,NA,29,117,NA,100,468
