id,cohort,outcome,statistic,or95ci,hr95ci,value,se,lower95,upper95,p,plimit,n,ncancer,neventscancer,ratecancer,ncontrol,neventscontrol,ratecontrol,chi2,convertedrr,comment,lnvalue,lnlower95,lnupper95,model
122739,all,ICU Admission,uor,2.54 [1.93 - 3.34],.,2.537405967712402,.1398489,1.929081559181213,3.3375618,5.72612000000e-12,.,10881,244,78,.3197,10637,1662,.1562,47.42116211,Original,NA,.93114227,.65704399,1.2052406,Univariate
122739,all,ICU Admission,uhr,.,2.25 [1.79 - 2.83],2.25,.11701589,1.79,2.8299999,,.,10881,244,78,.3197,10637,1662,.1562,,Original,NA,.81093019,.58221561,1.0402766,Univariate
122739,all,ICU Admission,mhr,.,1.57 [1.24 - 1.97],1.57,.11579723,1.24,1.97,,.,10881,244,78,.3197,10637,1662,.1562,,Original,NA,.45107561,.21511137,.67803353,Multivariate
122739,all,Mortality,uor,2.71 [2.06 - 3.56],.,2.711196660995483,.13901442,2.064581155776978,3.5603285,8.87118000000e-14,.,10881,244,80,.3279,10637,1622,.1525,55.60247718,Original,NA,.99739009,.72492737,1.2698528,Univariate
122739,all,Mortality,uhr,.,2.07 [1.65 - 2.59],2.07,.11434378,1.65,2.5899999,,.,10881,244,80,.3279,10637,1622,.1525,,Original,NA,.7275486,.50077528,.95165783,Univariate
122739,all,Mortality,mhr,.,1.72 [1.37 - 2.16],1.72,.11621869,1.37,2.1600001,,.,10881,244,80,.3279,10637,1622,.1525,,Original,NA,.5423243,.31481075,.77010828,Multivariate
122739,all,Severe Disease,uor,1.79 [1.39 - 2.31],.,1.788329720497131,.12964049,1.387067556381226,2.3056722,5.54912000000e-06,.,10881,244,125,.5123,10637,3936,.37,20.63774764,Original,NA,.58128208,.32719186,.83537227,Univariate
122739,all,Severe Disease,mor,.,.,1.75,.14605014,1.32,2.3299999,,.,10881,244,125,.5123,10637,3936,.37,,Original,NA,.55961579,.27763173,.84586823,Multivariate
124006,all,ICU Admission,uor,3.55 [2.02 - 6.26],.,3.554621848739496,.28899324,2.01744828662571,6.2630286,,.,320,64,36,.5625,256,68,.2656,,Original,NA,1.2682487,.70183349,1.8346639,Univariate
124006,all,Mortality,uhr,.,2.79 [1.70 - 4.59],2.79,.25400439,1.7,4.5900002,,<0.001,320,64,29,.4531,256,35,.1367,,Original,NA,1.0260416,.53062826,1.52388,Univariate
124006,all,Mortality,mhr,.,2.27 [1.25 - 4.13],2.27,.30536216,1.25,4.1300001,.007,.,320,64,29,.4531,256,35,.1367,,Original,NA,.81977981,.22314355,1.4182774,Multivariate
124006,all,Severe Disease,.,.,.,,,,,,.,320,64,24,.375,256,,,,Original,NA,,,,
124497,all,Mortality,uor,1.86 [1.66 - 2.09],.,1.861987233161926,.058618795,1.659894108772278,2.0886853,5.22568000000e-27,<0.0001,42057,1391,450,.3235,40666,8310,.2043,115.8119647,Original,CardioOnc+WRTCardioOnc-_CalculatedRatio: Cardio onc + / CVD+,.62164432,.5067538,.73653483,Univariate
124497,all,Severe Disease,uor,1.30 [1.17 - 1.45],.,1.303659319877625,.054551478,1.171466588973999,1.4507692,1.09424000000e-06,<0.0001,42057,1391,693,.4982,40666,17581,.4323,23.75476279,Original,CardioOnc+WRTCardioOnc-_CalculatedRatio: Cardio onc + / CVD+,.26517516,.15825646,.37209389,Univariate
128789,myeloma,Mortality,uor,3.24 [1.61 - 6.52],.,3.240430593490601,.35656884,1.610984683036804,6.5179954,.000690201,.,210,43,21,.4884,167,38,.2275,11.51545132,Original,"I calculated crude OR, CI and p-value for mortality and active MM (n=43) vs. non-cancer (n=167). Raw mortality data taken from table 1 and 2",1.1757063,.47684559,1.8745669,Univariate
131660,all,ICU Admission,urr,.,.,,,,,,.,186,75,0,0,111,0,0,,Original,"No p-value stated; simply reported ""not significant"" for disease status between cancer and non-cancer groups",,,,Univariate
131660,all,Mortality,uor,7.55 [2.07 - 27.52],.,7.548387050628662,.66003388,2.070300817489624,27.521675,.000481544,.,186,75,13,.1733,111,3,.027,12.18580922,Original,"No p-value stated; simply reported ""not significant"" for disease status between cancer and non-cancer groups",2.0213339,.72769392,3.3149738,Univariate
131660,all,Moderate Disease,urr,.,.,,,,,,.,186,75,31,.4133,111,57,.5135,,Original,"No p-value stated; simply reported ""not significant"" for disease status between cancer and non-cancer groups",,,,Univariate
131660,all,Severe Disease,urr,.,.,,,,,,.,186,75,44,.5867,111,54,.4865,,Original,"No p-value stated; simply reported ""not significant"" for disease status between cancer and non-cancer groups",,,,Univariate
137597,haem,Hospitalisation,uor,1.27 [1.03 - 1.56],.,1.270137,.10559924,1.03268,1.5622,.02345378,.,1480,740,452,.6108,740,409,.5527,5.134578833,Original,uOR,.23912477,.032157365,.44609505,Univariate
137597,haem,ICU Admission,uor,1.80 [1.34 - 2.41],.,1.798039197921753,.14866388,1.343558192253113,2.406256,.0000683927,.,1480,740,140,.1892,740,85,.1149,15.85480301,Original,uOR,.58669674,.29532146,.87807202,Univariate
137597,haem,Mortality,uor,2.21 [1.55 - 3.15],.,2.206269502639771,.18116455,1.546861171722412,3.1467757,8.48380000000e-06,.,1480,740,102,.1378,740,50,.0676,19.82561826,Original,uOR,.7913031,.43622783,1.1463784,Univariate
137597,haem,Severe Disease,uor,1.66 [1.30 - 2.11],.,1.658509492874146,.12316488,1.302806854248047,2.1113288,.0000366505,.,1480,740,213,.2878,740,145,.1959,17.03741324,Original,uOR,.50591928,.26452106,.74731755,Univariate
137597,all,Hospitalisation,uor,1.27 [1.03 - 1.56],.,1.270137190980712,.1055971,1.032681510994343,1.5621936,,.,1480,740,452,.6108,740,409,.5527,,Original,uOR,.23912492,.032158829,.446091,Univariate
137597,all,ICU Admission,uor,1.80 [1.34 - 2.41],.,1.798039197921753,.14866388,1.343558192253113,2.406256,.0000683927,.,1480,740,140,.1892,740,85,.1149,15.85480301,Original,uOR,.58669674,.29532146,.87807202,Univariate
137597,all,Mortality,uor,2.21 [1.55 - 3.15],.,2.206269502639771,.18116455,1.546861171722412,3.1467757,8.48380000000e-06,.,1480,740,102,.1378,740,50,.0676,19.82561826,Original,uOR,.7913031,.43622783,1.1463784,Univariate
137597,all,Severe Disease,uor,1.66 [1.30 - 2.11],.,1.658509492874146,.12316488,1.302806854248047,2.1113288,.0000366505,.,1480,740,213,.2878,740,145,.1959,17.03741324,Original,uOR,.50591928,.26452106,.74731755,Univariate
61253,haem,ICU Admission,uor,4.17 [0.93 - 18.72],.,4.166666507720947,.76656318,.927449643611908,18.719194,.051877935,.,49,10,7,.7,39,14,.359,3.779700855,Original,LYMPHOMA/MYELOMA,1.4271163,-.075316779,2.9295495,Univariate
61253,haem,Mortality,uor,0.45 [0.08 - 2.40],.,.4464285671710968,.85815418,.0830407589673996,2.4000077,.338869187,.,49,10,2,.2,39,14,.359,.91470474,Original,LYMPHOMA/MYELOMA,-.80647588,-2.4884238,.87547195,Univariate
61253,solid,ICU Admission,uor,0.80 [0.29 - 2.24],.,.8035714030265808,.52205336,.2888369560241699,2.2356107,.675073926,.,68,29,9,.3103,39,14,.359,.175724104,Original,NA,-.21868923,-1.2418929,.80451447,Univariate
61253,solid,Mortality,uor,0.47 [0.15 - 1.42],.,.4658385217189789,.56707454,.1532998383045197,1.4155627,.173456392,.,68,29,6,.2069,39,14,.359,1.852814618,Original,NA,-.76391625,-1.8753595,.34752715,Univariate
61253,all,ICU Admission,uor,1.24 [0.50 - 3.10],.,1.242236018180847,.46626905,.4980993568897247,3.0980773,.641591574,.,78,39,16,.4103,39,14,.359,.216666667,Original,NA,.216913,-.69695568,1.1307817,Univariate
61253,all,Mortality,uor,0.46 [0.17 - 1.27],.,.460829496383667,.51834995,.1668479591608047,1.2727984,.131117735,.,78,39,8,.2051,39,14,.359,2.279220779,Original,NA,-.77472717,-1.7906723,.24121796,Univariate
61478,all,ICU Admission,uor,.,.,,,,,,.,171,116,8,.069,55,0,0,,Original,"non-cancer data taken from table 5 and cancer data summed across both cohorts from table 6. I calculated crude OR, CI and p-value using this data",,,,Univariate
61478,all,Mortality,uor,.,.,,,,,,.,171,116,8,.069,55,0,0,,Original,"non-cancer data taken from table 5 and cancer data summed across both cohorts from table 6. I calculated crude OR, CI and p-value using this data",,,,Univariate
61478,all,Severe Disease,uor,4.59 [2.16 - 9.77],.,4.592592716217041,.38507649,2.159140348434448,9.7686596,.00003619,.,171,116,62,.5345,55,11,.2,17.06142597,Original,"non-cancer data taken from table 5 and cancer data summed across both cohorts from table 6. I calculated crude OR, CI and p-value using this data",1.5244447,.76971018,2.2791793,Univariate
61922,breast,Mortality,mor,.,.,1.05,.54906189,.36,3.0799999,.9330000000000001,.,1118,28,4,.1429,1090,149,.1367,,Original,NA,.048790164,-1.0216513,1.1249295,Multivariate
61922,gynae,Mortality,mor,.,.,3.95,.57663232,1.27,12.23,.018,.,1103,13,5,.3846,1090,149,.1367,,Original,NANA,1.3737155,.23901691,2.5038919,Multivariate
61922,haem,Mortality,mor,.,.,3.71,.29621673,2.08,6.6300001,.00001165,.,1144,54,20,.3704,1090,149,.1367,,Original,NA,1.3110318,.73236787,1.8916048,Multivariate
61922,han,Mortality,mor,.,.,.9,1.0742506,.11,7.3899999,1.066,.,1098,8,1,.125,1090,149,.1367,,Original,NA,-.10536052,-2.2072749,2.0001278,Multivariate
61922,hpb,Mortality,mor,.,.,2.53,.84054863,.49,13.14,.277,.,1097,7,2,.2857,1090,149,.1367,,Original,NA,.92821932,-.71334988,2.5756609,Multivariate
61922,gilower,Mortality,mor,.,.,3.89,.45770544,1.58,9.54,.003,.,1111,21,8,.381,1090,149,.1367,,Original,NA,1.3584092,.45742485,2.2554934,Multivariate
61922,skin,Mortality,mor,.,.,3.16,1.2275344,.28,35.040001,.358,.,1093,3,1,.3333,1090,149,.1367,,Original,NA,1.1505721,-1.2729657,3.5564902,Multivariate
61922,solid,Mortality,mor,.,.,2.11,.19956785,1.42,3.1199999,.0002,.,1254,164,41,.25,1090,149,.1367,,Original,NA,.74668795,.35065687,1.137833,Multivariate
61922,thoracic,Mortality,mor,.,.,7.58,.61192304,2.28,25.15,.001,.,1101,11,6,.5455,1090,149,.1367,,Original,NA,2.0255132,.82417542,3.2248578,Multivariate
