"Covidence #","prefix","Total number of patients","percentage","Comment","outcome","Measure of Association","value","95% CI","p-value","cancer: Event/Total","Non-cancer: Event/Total","Measure of Association_number_of_semicolons","value_number_of_semicolons","95% CI_number_of_semicolons","p-value_number_of_semicolons","cancer: Event/Total_number_of_semicolons","Non-cancer: Event/Total_number_of_semicolons","same_number_of_semicolons"
62182,"Chemotherapy","15","25.9",NA,"[mortality]","mHR","2.04","0.84-4.9","0.11","0.467 (7/15)","0.341 (77/226)",0,0,0,0,0,0,TRUE
62182,"Hormonal therapy","8","13.8","NANA","[mortality]","mHR","1.94","0.74-5.1","0.18","0.625 (5/8)","0.341 (77/226)",0,0,0,0,0,0,TRUE
62182,"immunotherapy (immune checkpoint inhibitors/CAR-T)","4","6.90","NANA","[mortality]","mHR","1.70","0.39-7.3","0.48","0.500 (2/4)","0.341 (77/226)",0,0,0,0,0,0,TRUE
62182,"radiotherapy","5","8.62","NANA","[mortality]","mHR","1.94","0.45-8.4","0.38","0.400 (2/5)","0.341 (77/226)",0,0,0,0,0,0,TRUE
62182,"surgery","3","5.17","NANA","[mortality]","mHR","1.4","0.18-10.8","0.75","0.333 (1/3)","0.341 (77/226)",0,0,0,0,0,0,TRUE
62182,"Targeted therapy (RTK inhibitor/mAb against receptors)","2","3.45","NA","[mortality]","mHR","3.44","0.44-27.2","0.24","0.500 (1/2)","0.341 (77/226)",0,0,0,0,0,0,TRUE
68083,"Chemotherapy","NR","NR",NA,"[mortality]","uRR; mRR","1.31; 1.37 ","1.08-1.60; 1.12–1.69 ","0.006; 0.003","NR; NR","0.019 (4854/253179); 0.019 (4854/253179)",1,1,1,1,1,1,TRUE
68083,"radiotherapy","NR","NR","NANA","[mortality]","uRR; mRR","1.89; 1.83  ","1.44-2.49; 1.37–2.46","<0.001; <0.001","NR; NR","0.019 (4854/253179); 0.019 (4854/253179)",1,1,1,1,1,1,TRUE
71402,"Chemotherapy","1168;537","19; 8.7","Most recent chemo within past year; most recent chemo one to 3 years ago Most recent chemo within past year; most recent chemo one to 3 years ago ","[hospitalisation]","mOR","2.75;1.59","2.34-3.22;1.22-2.08",NA,"NR (NR/1168); NR (NR/537)","NR (NR/38267); NR (NR/38267)",0,1,1,NA,1,1,TRUE
71402,"Chemotherapy","1168;537","19; 8.7","Most recent chemo within past year; most recent chemo one to 3 years ago Most recent chemo within past year; most recent chemo one to 3 years ago ","[ICU]","mOR;mOR","1.90;1.58","1.37-2.62;0.95-2.62",NA,"NR (NR/1168); NR (NR/537) ","NR (NR/38267); NR(NR/38267)",1,1,1,NA,1,1,NA
71402,"Chemotherapy","1168;537","19; 8.7","Most recent chemo within past year; most recent chemo one to 3 years ago Most recent chemo within past year; most recent chemo one to 3 years ago ","[mortality]","mOR;mOR","3.01;2.04","2.26-4.02;1.27-3.29",NA,"NR (NR/1168); NR (NR/537)","NR (NR/38267); NR (NR/38267)",1,1,1,NA,1,1,NA
71402,"Chemotherapy","1168;537","19; 8.7","Most recent chemo within past year; most recent chemo one to 3 years ago Most recent chemo within past year; most recent chemo one to 3 years ago ","[severe]","mOR;mOR","2.90;1.68","2.49-3.38;1.30-2.16",NA,"NR (NR/1168); NR (NR/537)","NR (NR/38267); NR(NR/38267)",1,1,1,NA,1,1,NA
73804,"Chemotherapy",NA,NA,NA,"[hospitalisation]","uOR;mOR","6.29;4.14","5.98-6.61;3.92-4.36","<0.00001;<0.00001",NA,NA,1,1,1,1,NA,NA,NA
73804,"Chemotherapy",NA,NA,NA,"[ICU]","uOR;mOR","7.53;5.51","6.20-9.15;4.50-6.74","<0.00001;<0.00001",NA,NA,1,1,1,1,NA,NA,NA
73804,"Chemotherapy",NA,NA,NA,"[mortality]","uOR;mOR","11.58;7.69","10.81-12.40;7.13-8.29","<0.00001;<0.00001",NA,NA,1,1,1,1,NA,NA,NA
73804,"Hormonal therapy",NA,NA,"NANA","[hospitalisation]","uOR;mOR","9.18;4.07","6.86-12.27;3.00-5.53","<0.00001;<0.00001",NA,NA,1,1,1,1,NA,NA,NA
73804,"Hormonal therapy",NA,NA,"NANA","[ICU]","uOR;mOR","2.85;1.21","0.40-20.25;0.17-8.63","0.29636;0.84867",NA,NA,1,1,1,1,NA,NA,NA
73804,"Hormonal therapy",NA,NA,"NANA","[mortality]","uOR;mOR","11.32;3.17","7.36-17.40;2.03-4.95","<0.00001;<0.00001",NA,NA,1,1,1,1,NA,NA,NA
73804,"immunotherapy (immune checkpoint inhibitors/CAR-T)",NA,NA,"NANA","[hospitalisation]","uOR;mOR","7.56;3.06","5.64-10.12;2.26-4.15","<0.00001;<0.00001",NA,NA,1,1,1,1,NA,NA,NA
73804,"immunotherapy (immune checkpoint inhibitors/CAR-T)",NA,NA,"NANA","[ICU]","uOR;mOR","0.00;0.00","0.00-1.95E+37;0.00-1.37E+36","0.87403;0.86020",NA,NA,1,1,1,1,NA,NA,NA
73804,"immunotherapy (immune checkpoint inhibitors/CAR-T)",NA,NA,"NANA","[mortality]","uOR;mOR","11.10;3.76","6.99-17.63;2.32-6.10","<0.00001;<0.00001",NA,NA,1,1,1,1,NA,NA,NA
73804,"radiotherapy",NA,NA,"NANA","[hospitalisation]","uOR;mOR","4.17;2.39","3.88-4.47;2.21-2.57","<0.00001;<0.00001",NA,NA,1,1,1,1,NA,NA,NA
73804,"radiotherapy",NA,NA,"NANA","[ICU]","uOR;mOR","3.68;2.53","2.65-5.10;1.81-3.56","<0.00001;<0.00001",NA,NA,1,1,1,1,NA,NA,NA
73804,"radiotherapy",NA,NA,"NANA","[mortality]","uOR;mOR","8.12;4.29","7.38-8.93;3.88-4.76","<0.00001;<0.00001",NA,NA,1,1,1,1,NA,NA,NA
73804,"Targeted therapy (RTK inhibitor/mAb against receptors)",NA,NA,"B/T-cell antibody therapyNA","[hospitalisation]","uOR;mOR","13.03;9.38","11.02-15.41;7.83-11.24","<0.00001;<0.00001",NA,NA,1,1,1,1,NA,NA,NA
73804,"Targeted therapy (RTK inhibitor/mAb against receptors)",NA,NA,"B/T-cell antibody therapyNA","[ICU]","uOR;mOR","28.91;21.97","18.73-44.62;14.17-34.05","<0.00001;<0.00001",NA,NA,1,1,1,1,NA,NA,NA
73804,"Targeted therapy (RTK inhibitor/mAb against receptors)",NA,NA,"B/T-cell antibody therapyNA","[mortality]","uOR;mOR","20.61;14.12","16.38-25.93;10.93-18.25","<0.00001;<0.00001",NA,NA,1,1,1,1,NA,NA,NA
75567,"Chemotherapy","28","44",NA,"[mortality]","uHR; mHR","3.14; 1.65","1.77-5.57; 0.60-4.56","<0.001; 0.33","0.571 (16/27); 0.571 (16/27)","0.137 (35/256); 0.137 (35/256)",1,1,1,1,1,1,TRUE
78588,"Chemotherapy","10","32.3",NA,"[mortality]","aOR (MV reg)","0.190","0.014 - 2.537","0.209",NA,NA,0,0,0,0,NA,NA,TRUE
78588,"Chemotherapy","10","32.3",NA,"[severe]","aOR (MV reg)","0.295","0.033 - 2.635","0.275",NA,NA,0,0,0,0,NA,NA,TRUE
78588,"immunotherapy (immune checkpoint inhibitors/CAR-T)","4","12.9","NANA","[mortality]","aOR (MV reg)","0.983","0.047 - 20.494","0.991",NA,NA,0,0,0,0,NA,NA,TRUE
78588,"immunotherapy (immune checkpoint inhibitors/CAR-T)","4","12.9","NANA","[severe]","aOR (MV reg)","0.368","0.025 - 5.415","0.466",NA,NA,0,0,0,0,NA,NA,TRUE
78588,"radiotherapy","8","25.8","NANA","[mortality]","aOR (MV reg)","5.150","0.332 - 79.969","0.241",NA,NA,0,0,0,0,NA,NA,TRUE
78588,"radiotherapy","8","25.8","NANA","[severe]","aOR (MV reg)","1.555","0.137 - 17.705","0.722",NA,NA,0,0,0,0,NA,NA,TRUE
78588,"surgery","7","22.6","NANA","[mortality]","aOR (MV reg)","1.255","1.019 - 4.287","0.03",NA,NA,0,0,0,0,NA,NA,TRUE
78588,"surgery","7","22.6","NANA","[severe]","aOR (MV reg)","1.342","0.049 - 2.366","0.027",NA,NA,0,0,0,0,NA,NA,TRUE
78588,"Targeted therapy (RTK inhibitor/mAb against receptors)","3","9.68","NA","[mortality]","aOR (MV reg)",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,TRUE
78588,"Targeted therapy (RTK inhibitor/mAb against receptors)","3","9.68","NA","[severe]","aOR (MV reg)",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,TRUE
81620,"Chemotherapy","71","0.130 (71/547)","Chemotherapy including targeted therapy and immunotherapy last 3 months","[severe]","uOR; mOR","5.33; 1.80","3.29-8.62; 1.07-3.01",NA,"0.394 (28/71); 0.394 (28/71)",NA,1,1,1,NA,1,NA,NA
81620,"Hormonal therapy","45","0.0823 (45/547)","NANA","[severe]","uOR; mOR","5.89; 1.70","3.30-10.85; 0.91-3.20",NA,"0.422 (19/45); 0.422 (19/45)",NA,1,1,1,NA,1,NA,NA
81620,"immunotherapy (immune checkpoint inhibitors/CAR-T)","15","0.0274 (15/547)","NANA","[severe]","uOR; mOR","5.45; 1.63","1.94-15.36; 0.55-4.81",NA,"0.400 (6/15); 0.400 (6/15)",NA,1,1,1,NA,1,NA,NA
81620,"radiotherapy","7","0.0128 (7/547)","NANA","[severe]","uOR; mOR","6.14; 2.67","1.37-27.46; 0.54-13.14",NA,"0.423 (3/7); 0.423 (3/7)",NA,1,1,1,NA,1,NA,NA
81620,"surgery","90","0.165 (90/547)","NANA","[severe]","uOR; mOR","7.16; 2.19","4.70-10.90; 1.40-3.44",NA,"0.467 (42/90); 0.467 (42/90)",NA,1,1,1,NA,1,NA,NA
