"","Covidence #","prefix","Total number of patients","Percentage","Comment","outcome","Measure of Association","value","95% CI","p-value","cancer: Event/Total","Non-cancer: Event/Total","Measure of Association_number_of_semicolons","value_number_of_semicolons","95% CI_number_of_semicolons","p-value_number_of_semicolons","cancer: Event/Total_number_of_semicolons","Non-cancer: Event/Total_number_of_semicolons","same_number_of_semicolons","cancer(event/total)","cancer(event count)","cancer(total count)","non-cancer(event/total)","non-cancer(event count)","non-cancer(total count)"
"1",141173,"vaccinated",NA,NA,NA,"[hospitalisation]","aOR","0.884","0.64-1.223","0.4573",NA,NA,0,0,0,0,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
"2",141173,"vaccinated",NA,NA,NA,"[ICU]","aOR","0.77","0.408-1.455","0.4204",NA,NA,0,0,0,0,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
"3",141173,"vaccinated",NA,NA,NA,"[mortality]","aOR","1.477","0.675-3.232","0.3261",NA,NA,0,0,0,0,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
"4",141173,"vaccinated",NA,NA,NA,"[severe]","aOR","1.15","0.552-2.395","0.7088",NA,NA,0,0,0,0,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
"5",71402,"unvaccinated",NA,NA,"before vaccination","[severe]","mOR","1.2","1.10-1.31",NA,NA,NA,0,0,0,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
"6",71402,"vaccinated",NA,NA,"partially vaccinated; fully vaccinated; boosted","[severe]","mOR","1.38, 1.54, 1.82","0.84-2.27, 1.09-2.18, 1.39-2.37",NA,NA,NA,2,0,0,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"7",71402,"vaccinated",NA,NA,"partially vaccinated; fully vaccinated; boosted","[severe]"," mOR","1.38, 1.54, 1.82","0.84-2.27, 1.09-2.18, 1.39-2.37",NA,NA,NA,2,0,0,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"8",71402,"vaccinated",NA,NA,"partially vaccinated; fully vaccinated; boosted","[severe]","mOR","1.38, 1.54, 1.82","0.84-2.27, 1.09-2.18, 1.39-2.37",NA,NA,NA,2,0,0,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"9",71512,"unvaccinated","48639","88.5",NA,"[ICU]",NA,NA,NA,NA,"0.241 (741/3074)","0.182 (7752/42593)",NA,NA,NA,NA,0,0,NA,0.241,741,3074,0.182,7752,42593
"10",71512,"unvaccinated","48639","88.5",NA,"[mortality]",NA,NA,NA,NA,"0.131 (403/3074)","0.076 (3237/42593)",NA,NA,NA,NA,0,0,NA,0.131,403,3074,0.076,3237,42593
